"brood 33 juveniles, 4DPM, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,7.274488697,0.875343401,0.806528015,1.085322995,0.277778625,0.919955284
TRINITY_DN10003_c0_g1,10.68950794,0.121848736,0.648538896,0.187881924,0.850969213,0.993433498
TRINITY_DN10006_c0_g1,7.400494608,-1.453909914,0.837096619,-1.73684839,0.082413935,0.728144495
TRINITY_DN10007_c0_g1,7.086846925,-0.132375105,0.843135275,-0.1570034,0.875242168,0.993433498
TRINITY_DN10013_c0_g1,14.01389019,0.118532191,0.543740268,0.217994137,0.82743368,0.992603512
TRINITY_DN10015_c0_g1,2.510725427,-1.830081888,1.852447941,-0.987926218,0.323188784,NA
TRINITY_DN10016_c0_g1,12.61315804,0.350377727,0.640766058,0.546810685,0.584508802,0.977878674
TRINITY_DN10017_c0_g1,2.288209432,0.605492687,1.387546221,0.436376589,0.662563521,NA
TRINITY_DN10018_c0_g1,0.977507085,3.323881255,2.401686488,1.383977997,0.166365192,NA
TRINITY_DN1001_c0_g1,12.06292205,-0.694626539,0.61753853,-1.124831092,0.260660617,0.909531987
TRINITY_DN10020_c0_g1,10.77230536,-0.630749867,0.899999058,-0.700833919,0.483406668,0.969550949
TRINITY_DN10021_c0_g1,1.491518048,1.45664495,1.767534018,0.824111409,0.409876258,NA
TRINITY_DN10024_c0_g1,22.40193125,-0.297459795,0.49499701,-0.600932509,0.54788494,0.976980444
TRINITY_DN10026_c0_g1,14.31106035,0.950067629,0.670293681,1.417390101,0.156368905,0.857785845
TRINITY_DN10028_c0_g1,16.22001156,-2.869268976,2.111769957,-1.358703379,0.174240601,0.876535827
TRINITY_DN1002_c0_g1,20.57135184,0.035091755,0.46592923,0.075315632,0.939963584,0.997618092
TRINITY_DN10031_c0_g1,11.44408957,1.032100747,0.668468218,1.543978784,0.122593472,0.822415208
TRINITY_DN10032_c0_g1,38.79559613,-0.664491082,0.538515878,-1.233930344,0.217228861,0.889522662
TRINITY_DN10036_c0_g1,25.09303036,-0.250466121,0.521743624,-0.480055931,0.631187623,0.982276674
TRINITY_DN1003_c0_g1,3.62890365,1.947027068,1.173536527,1.65911075,0.097093477,NA
TRINITY_DN10040_c0_g1,4.682025221,0.57446025,0.932304579,0.616172293,0.537780813,NA
TRINITY_DN10041_c0_g1,3.63797556,0.011004086,1.034272012,0.01063945,0.991511107,NA
TRINITY_DN10042_c0_g1,9.422890226,-0.338530984,0.72365265,-0.46780867,0.63992142,0.983566494
TRINITY_DN10043_c0_g1,16.38533361,0.182433097,0.533631524,0.341870914,0.73244804,0.987816717
TRINITY_DN1004_c0_g1,8.762156816,-0.683870747,0.731984847,-0.934268996,0.350165153,0.93982832
TRINITY_DN10051_c0_g1,14.78969846,2.80615303,0.942994417,2.975789655,0.002922352,0.181000949
TRINITY_DN10053_c0_g1,2.324714206,-3.803738863,2.128127379,-1.787364281,0.073878631,NA
TRINITY_DN10055_c0_g1,2.967568768,1.263296918,1.348145999,0.937062395,0.348726464,NA
TRINITY_DN10056_c0_g1,1.772762462,0.607850449,1.525005939,0.398588906,0.690196137,NA
TRINITY_DN1005_c0_g1,6.443631832,-1.196666204,0.944954983,-1.26637377,0.205379297,0.887082738
TRINITY_DN10064_c0_g1,2.820777829,-1.105062751,1.212400079,-0.911467073,0.362049327,NA
TRINITY_DN10065_c0_g1,0.408544621,0.04450806,3.148478344,0.014136372,0.988721183,NA
TRINITY_DN10066_c0_g1,8.909625501,-0.017482024,0.684796887,-0.025528773,0.979633199,0.999071663
TRINITY_DN10067_c0_g1,2.212933522,-0.619448098,1.552333442,-0.399043196,0.689861376,NA
TRINITY_DN10068_c0_g1,10.75420094,-0.51065153,0.66536115,-0.767480233,0.442796042,0.961813344
TRINITY_DN1006_c0_g1,52.81342985,-0.356679805,0.330011334,-1.080810773,0.279781295,0.920595222
TRINITY_DN10070_c0_g1,2.317101054,-0.542967768,1.334427891,-0.406891801,0.684087458,NA
TRINITY_DN10074_c0_g1,14.24500232,3.873804017,1.021297966,3.793020398,0.000148826,0.030206646
TRINITY_DN10075_c0_g1,38.02965114,-0.140557232,0.399086367,-0.352197529,0.72469013,0.987160942
TRINITY_DN10076_c0_g1,5.732148124,-1.885872747,0.915835052,-2.059183849,0.03947663,0.587401846
TRINITY_DN10077_c0_g1,1.888932462,-0.34448851,1.429207186,-0.241034689,0.809528231,NA
TRINITY_DN10078_c0_g1,43.65482244,-0.325204324,0.384044305,-0.846788562,0.397112985,0.950763275
TRINITY_DN10079_c0_g1,6.155608007,-0.096631554,0.832248688,-0.116108989,0.907566165,0.995141618
TRINITY_DN10081_c0_g1,2.861345694,-0.432455066,1.315443775,-0.328752224,0.742342977,NA
TRINITY_DN10084_c0_g1,110.2970305,-3.032749493,2.210888361,-1.371733438,0.170146435,0.871408447
TRINITY_DN10085_c0_g1,5.190634109,-1.055392515,0.953342381,-1.10704458,0.268274655,NA
TRINITY_DN10086_c0_g1,31.31699613,1.294359752,0.551818182,2.345627226,0.018995095,0.428909236
TRINITY_DN10087_c0_g1,85.17162696,1.019336389,0.40408743,2.522563962,0.011650276,0.346128156
TRINITY_DN1008_c0_g1,91.28998705,0.089294571,0.284629936,0.313721644,0.753732461,0.988776186
TRINITY_DN10093_c0_g1,2895.136073,-0.243037963,0.274517307,-0.885328381,0.375979547,0.945677707
TRINITY_DN10094_c0_g1,14.1172048,-0.035072214,0.880617683,-0.039826833,0.968231183,0.999071663
TRINITY_DN10095_c0_g1,30.43206409,-0.213697683,0.557100869,-0.383588852,0.701283204,0.98465257
TRINITY_DN10098_c0_g1,23.62788877,-0.477688279,0.598647022,-0.797946471,0.424901554,0.958262759
TRINITY_DN10099_c0_g1,14.89218243,0.366280032,0.523436587,0.699760088,0.484077144,0.969550949
TRINITY_DN100_c0_g1,0.459176479,1.006298425,3.400800434,0.295900463,0.767306097,NA
TRINITY_DN10100_c0_g1,12.99020101,-0.074343495,0.874629047,-0.085000029,0.932261367,0.997618092
TRINITY_DN10103_c0_g1,149.5379583,0.270256293,0.302489718,0.893439601,0.371621803,0.945677707
