"brood 33 juveniles, 1DPM, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,3.54513776,-0.569923157,1.112471624,-0.512303545,0.608438585,NA
TRINITY_DN10003_c0_g1,6.279619175,-0.652393207,0.864138292,-0.75496389,0.450270649,NA
TRINITY_DN10006_c0_g1,4.390887271,-0.246270326,1.00295353,-0.245545101,0.806034391,NA
TRINITY_DN10007_c0_g1,4.799982983,-0.370821509,0.997835328,-0.371625958,0.71017136,NA
TRINITY_DN10013_c0_g1,12.25682304,-0.226242736,0.629832332,-0.359211054,0.719437208,0.999389539
TRINITY_DN10015_c0_g1,1.151466674,-1.506190725,2.515764543,-0.598700991,0.549372296,NA
TRINITY_DN10016_c0_g1,10.89234256,-0.41249092,0.690201062,-0.597638779,0.550080983,0.999389539
TRINITY_DN10017_c0_g1,1.671123299,-0.291300716,1.745252789,-0.166910328,0.867440606,NA
TRINITY_DN10018_c0_g1,0.659033064,1.698200617,2.747105954,0.618178056,0.536457974,NA
TRINITY_DN1001_c0_g1,8.720872597,0.558404017,0.796142828,0.701386734,0.483061699,0.999389539
TRINITY_DN10020_c0_g1,9.484917739,-0.369155101,0.772923731,-0.477608703,0.632928735,0.999389539
TRINITY_DN10021_c0_g1,1.624768103,2.391167225,1.836273335,1.3021848,0.19285322,NA
TRINITY_DN10024_c0_g1,18.54743978,-0.191508164,0.610634322,-0.313621684,0.753808389,0.999389539
TRINITY_DN10026_c0_g1,11.14625041,-0.611590633,0.685627281,-0.892016186,0.372384257,0.999389539
TRINITY_DN10028_c0_g1,13.26770973,-0.300922644,1.639898248,-0.183500802,0.854405089,0.999389539
TRINITY_DN1002_c0_g1,15.57992232,0.265672322,0.56696019,0.468590788,0.639362163,0.999389539
TRINITY_DN10031_c0_g1,7.236607853,-1.609388634,0.845569074,-1.903320123,0.056998787,NA
TRINITY_DN10032_c0_g1,19.78303543,-0.315754843,0.737078695,-0.42838688,0.668369475,0.999389539
TRINITY_DN10036_c0_g1,14.65607745,-0.672809465,0.565357058,-1.190061141,0.234022362,0.999389539
TRINITY_DN1003_c0_g1,3.496793534,-0.915268645,1.152404347,-0.794225263,0.427064304,NA
TRINITY_DN10040_c0_g1,4.810536711,-0.578177475,0.964155963,-0.599672145,0.548724755,NA
TRINITY_DN10041_c0_g1,3.144556265,0.437177032,1.414240708,0.30912491,0.757226511,NA
TRINITY_DN10042_c0_g1,9.608858417,0.250447212,0.752188398,0.332958089,0.73916592,0.999389539
TRINITY_DN10043_c0_g1,14.82237967,-0.050035132,0.567470167,-0.088172268,0.929739758,0.999389539
TRINITY_DN1004_c0_g1,10.98377971,0.090799335,0.725915684,0.125082481,0.900458252,0.999389539
TRINITY_DN10051_c0_g1,8.826473582,-1.646993758,0.938044392,-1.755773792,0.079127041,0.999389539
TRINITY_DN10053_c0_g1,1.150567122,-0.549553137,2.443498732,-0.224904204,0.822053799,NA
TRINITY_DN10055_c0_g1,2.572197422,-1.352854535,1.338242982,-1.010918461,0.312055458,NA
TRINITY_DN10056_c0_g1,1.338490329,0.957059106,1.839062686,0.520405919,0.602780686,NA
TRINITY_DN1005_c0_g1,7.065038045,-0.103429931,0.814048542,-0.12705622,0.898895902,NA
TRINITY_DN10064_c0_g1,1.379949349,-1.689595924,2.020906448,-0.836058455,0.403122019,NA
TRINITY_DN10065_c0_g1,0.834462779,2.378779977,2.532812774,0.939185084,0.347635726,NA
TRINITY_DN10066_c0_g1,7.177322248,0.460840182,0.861261019,0.535076094,0.59259724,NA
TRINITY_DN10067_c0_g1,1.411003425,0.753461259,1.627250985,0.463027072,0.643344962,NA
TRINITY_DN10068_c0_g1,8.432886127,0.8598789,0.818368179,1.050723772,0.293385474,NA
TRINITY_DN1006_c0_g1,45.59278745,-0.429442623,0.38509836,-1.115150485,0.26478594,0.999389539
TRINITY_DN10070_c0_g1,2.060454596,2.000770567,1.807571687,1.106883108,0.26834447,NA
