"brood 33 larvae, day 4, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,8.06549086,-1.01509833,1.097020664,-0.925322889,0.354797976,1
TRINITY_DN10003_c0_g1,6.076036369,1.438033781,1.330239302,1.0810339,0.279682034,1
TRINITY_DN10006_c0_g1,5.12789729,-0.375955138,1.278248632,-0.29411738,0.768668211,1
TRINITY_DN10007_c0_g1,6.183456047,0.379131248,1.215535444,0.311904725,0.755112931,1
TRINITY_DN10013_c0_g1,12.42161722,-0.472425077,0.85735612,-0.551025491,0.5816162,1
TRINITY_DN10015_c0_g1,0.457486244,1.661365998,4.744789084,0.350145384,0.726229592,1
TRINITY_DN10016_c0_g1,12.61733287,-0.447733143,0.858144494,-0.521745634,0.601847447,1
TRINITY_DN10017_c0_g1,4.735605516,0.388301246,1.333831749,0.291117112,0.770961753,1
TRINITY_DN10018_c0_g1,0.474487739,-1.68664699,4.646641118,-0.362981979,0.716618346,1
TRINITY_DN1001_c0_g1,3.172755665,-1.041325097,1.821137363,-0.571799315,0.567457941,1
TRINITY_DN10020_c0_g1,0.609408305,-0.570860884,4.074287234,-0.140113068,0.888570656,1
TRINITY_DN10021_c0_g1,3.654639904,-0.304224375,1.579911724,-0.192557831,0.847305272,1
TRINITY_DN10024_c0_g1,22.36944404,-0.453031536,0.66822048,-0.677967152,0.497792521,1
TRINITY_DN10026_c0_g1,11.44773796,-0.575935224,0.886241139,-0.649862886,0.515780794,1
TRINITY_DN10028_c0_g1,0.790512604,-1.865574541,3.388673639,-0.550532373,0.581954279,1
TRINITY_DN1002_c0_g1,15.10430696,0.299555881,0.803987697,0.372587643,0.709455371,1
TRINITY_DN10031_c0_g1,16.32050452,0.440579854,0.773031245,0.569937964,0.568719775,1
TRINITY_DN10032_c0_g1,14.79073189,0.251612673,0.874154047,0.287835621,0.773472569,1
TRINITY_DN10036_c0_g1,18.91749032,-0.390294737,0.721302108,-0.541097457,0.588440411,1
TRINITY_DN1003_c0_g1,5.880713241,0.83600006,1.196330212,0.698803768,0.484674673,1
TRINITY_DN10040_c0_g1,3.342943397,1.187406774,1.679977181,0.706799347,0.479691181,1
TRINITY_DN10041_c0_g1,2.896756435,0.043686027,1.855491254,0.023544184,0.981216195,1
TRINITY_DN10042_c0_g1,11.85974092,-0.070708131,0.891499557,-0.079313703,0.936783107,1
TRINITY_DN10043_c0_g1,16.67837314,-0.39129388,0.767116525,-0.510084018,0.609992601,1
TRINITY_DN1004_c0_g1,4.222348652,1.838895288,1.482637056,1.240286879,0.214869304,1
TRINITY_DN10051_c0_g1,33.0912037,0.429409848,0.65066495,0.659955402,0.50928245,1
TRINITY_DN10053_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10055_c0_g1,8.275588586,-0.215104189,1.068623555,-0.201290892,0.840471124,1
TRINITY_DN10056_c0_g1,0.787830887,-0.017489694,3.424985692,-0.005106501,0.995925619,1
TRINITY_DN1005_c0_g1,4.158236462,-0.570631059,1.459276514,-0.391036965,0.695769913,1
TRINITY_DN10064_c0_g1,1.481803484,1.924051784,2.457462966,0.782942331,0.433660978,1
TRINITY_DN10065_c0_g1,0.549182991,0,4.83498742,0,1,1
TRINITY_DN10066_c0_g1,7.147180974,0.27460359,1.218152382,0.225426305,0.82164765,1
TRINITY_DN10067_c0_g1,2.075144808,-1.707075463,2.140576033,-0.797484152,0.425169903,1
TRINITY_DN10068_c0_g1,11.93237148,0.359037719,0.86653971,0.414334986,0.678628795,1
TRINITY_DN1006_c0_g1,46.98432243,-0.866272012,0.562852029,-1.539075933,0.12378576,1
TRINITY_DN10070_c0_g1,3.736974269,2.077780161,1.53068517,1.357418366,0.174648316,1
TRINITY_DN10074_c0_g1,34.45655644,0.744841551,0.677366128,1.099614404,0.271500163,1
TRINITY_DN10075_c0_g1,41.62485163,-0.039425706,0.548575076,-0.071869299,0.942705922,1
TRINITY_DN10076_c0_g1,1.648402652,-1.382393473,2.929452337,-0.471894851,0.637001844,1
TRINITY_DN10077_c0_g1,1.725899606,-1.053304836,2.339066419,-0.45030993,0.65248698,1
TRINITY_DN10078_c0_g1,23.05826828,0.316781447,0.672242109,0.471231186,0.63747565,1
TRINITY_DN10079_c0_g1,2.158910729,0.485550541,1.893260574,0.256462606,0.797593651,1
TRINITY_DN10081_c0_g1,1.397822727,-1.940585041,2.953394956,-0.657069261,0.511136383,1
TRINITY_DN10084_c0_g1,2.509258076,-2.571280738,2.277220207,-1.129131355,0.258842426,1
TRINITY_DN10085_c0_g1,2.773574493,1.051383489,2.330030068,0.451231726,0.651822546,1
TRINITY_DN10086_c0_g1,34.96676378,1.354667055,0.675386903,2.005764472,0.044881383,1
TRINITY_DN10087_c0_g1,147.3165379,0.001167389,0.447918069,0.002606255,0.997920512,1
TRINITY_DN1008_c0_g1,109.7699416,-0.439635851,0.412960514,-1.06459537,0.287059076,1
TRINITY_DN10093_c0_g1,1746.776599,1.310076316,0.931904144,1.405805871,0.159781778,1
TRINITY_DN10094_c0_g1,17.91281375,1.244840639,0.810644359,1.535618702,0.124631925,1
TRINITY_DN10095_c0_g1,22.53626186,0.461168675,0.753679983,0.611889244,0.540611038,1
