"brood 33 juveniles, 1DPM, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,3.54513776,0.429717287,1.198755206,0.35846959,0.719991921,NA
TRINITY_DN10003_c0_g1,6.279619175,0.202206967,0.942533316,0.214535618,0.830129394,NA
TRINITY_DN10006_c0_g1,4.390887271,-0.548210604,1.185930039,-0.462262179,0.643893318,NA
TRINITY_DN10007_c0_g1,4.799982983,0.010004033,1.121996925,0.008916275,0.992885936,NA
TRINITY_DN10013_c0_g1,12.25682304,-0.379884644,0.733298966,-0.518048792,0.604424227,0.988136799
TRINITY_DN10015_c0_g1,1.151466674,2.981758674,2.494281789,1.195437776,0.231916034,NA
TRINITY_DN10016_c0_g1,10.89234256,-0.011096632,0.775020731,-0.014317852,0.988576397,0.999548779
TRINITY_DN10017_c0_g1,1.671123299,0.803189146,1.879931437,0.42724385,0.669201725,NA
TRINITY_DN10018_c0_g1,0.659033064,1.130768977,3.182264316,0.355334713,0.722338853,NA
TRINITY_DN1001_c0_g1,8.720872597,-0.423629341,0.961919334,-0.440400069,0.659647375,NA
TRINITY_DN10020_c0_g1,9.484917739,-0.605538096,0.901515272,-0.671689227,0.501781561,NA
TRINITY_DN10021_c0_g1,1.624768103,1.002122714,2.194129973,0.456728966,0.647865868,NA
TRINITY_DN10024_c0_g1,18.54743978,0.106025554,0.68717603,0.154291695,0.877379745,0.996474886
TRINITY_DN10026_c0_g1,11.14625041,-0.000537539,0.760967801,-0.000706388,0.999436384,0.999767049
TRINITY_DN10028_c0_g1,13.26770973,2.271978025,1.798391514,1.263338937,0.206467399,0.925980817
TRINITY_DN1002_c0_g1,15.57992232,0.469750515,0.639945093,0.734048156,0.462919389,0.971035346
TRINITY_DN10031_c0_g1,7.236607853,-2.476297548,1.10962382,-2.231655001,0.025637773,NA
TRINITY_DN10032_c0_g1,19.78303543,-1.078713604,0.861460496,-1.252191609,0.210500053,0.928751845
TRINITY_DN10036_c0_g1,14.65607745,-0.636485547,0.654649317,-0.972254199,0.330924103,0.958212748
TRINITY_DN1003_c0_g1,3.496793534,-0.039818828,1.254781847,-0.031733666,0.974684447,NA
TRINITY_DN10040_c0_g1,4.810536711,0.180107762,1.057324947,0.170342866,0.864740501,NA
TRINITY_DN10041_c0_g1,3.144556265,0.027998925,1.639381426,0.017078957,0.986373626,NA
TRINITY_DN10042_c0_g1,9.608858417,-0.48046382,0.899523431,-0.534131523,0.593250542,NA
TRINITY_DN10043_c0_g1,14.82237967,-0.327918586,0.664925433,-0.493165954,0.621895332,0.989472552
TRINITY_DN1004_c0_g1,10.98377971,-0.867729467,0.882471385,-0.983294736,0.3254624,0.955681349
TRINITY_DN10051_c0_g1,8.826473582,-1.824542269,1.10402785,-1.652623409,0.098407531,NA
TRINITY_DN10053_c0_g1,1.150567122,2.755812621,2.414365989,1.141422897,0.253693981,NA
TRINITY_DN10055_c0_g1,2.572197422,-1.169849367,1.54926317,-0.755100482,0.450188694,NA
TRINITY_DN10056_c0_g1,1.338490329,0.256480214,2.182860679,0.11749729,0.906465992,NA
TRINITY_DN1005_c0_g1,7.065038045,-0.615057593,0.973531767,-0.631779685,0.52753085,NA
TRINITY_DN10064_c0_g1,1.379949349,-0.615431394,2.171533047,-0.283408717,0.776863547,NA
TRINITY_DN10065_c0_g1,0.834462779,0.978816395,3.020522133,0.324055363,0.74589612,NA
TRINITY_DN10066_c0_g1,7.177322248,1.235598176,0.941954517,1.311738682,0.18960832,NA
TRINITY_DN10067_c0_g1,1.411003425,0.179559972,1.941753639,0.092473097,0.926322165,NA
TRINITY_DN10068_c0_g1,8.432886127,0.878493719,0.9250506,0.94967099,0.342279455,NA
TRINITY_DN1006_c0_g1,45.59278745,-0.635710747,0.44592878,-1.425588065,0.153987283,0.889519628
TRINITY_DN10070_c0_g1,2.060454596,2.30216042,1.986159853,1.159101276,0.246414906,NA
TRINITY_DN10074_c0_g1,6.184288783,-1.863578103,3.33217108,-0.559268434,0.575978535,NA
TRINITY_DN10075_c0_g1,30.35169967,0.317195512,0.54221107,0.585003756,0.558545191,0.982090528
TRINITY_DN10076_c0_g1,3.179719742,1.015632278,1.379481657,0.73624196,0.461583461,NA
TRINITY_DN10077_c0_g1,1.740002565,0.306180782,1.795486437,0.170528039,0.864594885,NA
TRINITY_DN10078_c0_g1,24.64266856,0.825857972,0.572172067,1.443373453,0.148915298,0.881050954
TRINITY_DN10079_c0_g1,5.742778668,1.169292583,1.211530139,0.965137016,0.334476189,NA
TRINITY_DN10081_c0_g1,1.688998477,-1.295004223,1.876739915,-0.690028604,0.4901762,NA
TRINITY_DN10084_c0_g1,72.43695451,2.73746356,1.480276443,1.84929212,0.064415643,0.756656155
TRINITY_DN10085_c0_g1,5.025085102,-0.823836428,1.282345041,-0.642445209,0.520584154,NA
TRINITY_DN10086_c0_g1,23.68915635,-1.076574826,0.67083623,-1.604825109,0.108532299,0.83283662
TRINITY_DN10087_c0_g1,52.8760596,-0.125156974,0.547973758,-0.228399577,0.819335619,0.996474886
TRINITY_DN1008_c0_g1,81.86268208,0.295059515,0.361308,0.816642629,0.414132686,0.970750438
TRINITY_DN10093_c0_g1,2227.717922,0.147943394,0.486055145,0.304375739,0.760841649,0.995848544
TRINITY_DN10094_c0_g1,17.46163369,0.56767231,0.763200386,0.743805062,0.456994417,0.971035346
TRINITY_DN10095_c0_g1,24.98980088,-0.302365063,0.558188609,-0.541689777,0.588032233,0.98673697
TRINITY_DN10098_c0_g1,15.94292526,-0.517950503,0.689865088,-0.750799703,0.452773208,0.971035346
TRINITY_DN10099_c0_g1,10.85541066,-0.039629461,0.737534191,-0.053732371,0.957148391,0.999548779
TRINITY_DN100_c0_g1,0.432379056,1.157676399,3.841234484,0.301381341,0.763123721,NA
TRINITY_DN10100_c0_g1,12.46465973,-2.649009231,1.179627214,-2.245632518,0.024727556,0.586082956
TRINITY_DN10103_c0_g1,129.1553743,1.13107147,0.432245094,2.616736399,0.008877487,0.406252816
TRINITY_DN10104_c0_g1,3.501776926,0.27773896,1.249471048,0.222285231,0.824091849,NA
TRINITY_DN10108_c0_g1,5.607084859,0.625975067,1.089945192,0.574317931,0.565752677,NA
TRINITY_DN10109_c0_g1,3.019654081,0.406918341,1.475302292,0.275820314,0.78268608,NA
TRINITY_DN1010_c0_g1,56.17264269,-0.055192592,0.416449036,-0.132531444,0.894563953,0.997155326
TRINITY_DN10112_c0_g1,17.58393959,-0.04580519,0.738605248,-0.062015792,0.950550256,0.999548779
