"brood 37 larvae, hour 4, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN10704_c0_g1,4.49904781,1.629398251,1.294493512,1.258714885,0.208133333,0.999884302
TRINITY_DN10707_c0_g1,9.959388064,-0.027131988,0.817307501,-0.033196793,0.973517655,0.999884302
TRINITY_DN10709_c0_g1,0.430323343,-0.100345446,3.17036499,-0.031651071,0.974750315,0.999884302
TRINITY_DN10713_c0_g1,3.501300893,0.11469472,1.226168275,0.093539135,0.925475261,0.999884302
TRINITY_DN10714_c0_g1,0.775465978,-1.651871905,2.54004068,-0.650332854,0.515477239,0.999884302
TRINITY_DN10715_c0_g1,13.29329354,0.518994238,0.752796888,0.689421338,0.49055816,0.999884302
TRINITY_DN10716_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10717_c0_g1,2.038369052,1.836587074,1.88437041,0.97464228,0.329737733,0.999884302
TRINITY_DN10718_c0_g1,4.78176904,0.304298522,1.141048131,0.266683336,0.789712985,0.999884302
TRINITY_DN1071_c0_g1,3.832824139,2.753816354,1.453091298,1.89514338,0.058073409,0.999884302
TRINITY_DN10720_c0_g1,9.329316732,-0.331757052,0.864012102,-0.383972691,0.700998688,0.999884302
TRINITY_DN10721_c0_g1,1.015824017,-1.382609763,2.298294819,-0.601580682,0.547453291,0.999884302
TRINITY_DN10723_c0_g1,0.142331198,0.24705292,4.283567004,0.057674578,0.954007844,0.999884302
TRINITY_DN10727_c0_g1,27.53774907,0.292142376,0.550886212,0.530313464,0.595894613,0.999884302
TRINITY_DN10728_c0_g1,16.59439175,0.131937223,0.635328433,0.207667744,0.835488405,0.999884302
TRINITY_DN10731_c0_g1,1.585537958,-0.94334252,1.830683652,-0.515295211,0.606346745,0.999884302
TRINITY_DN10732_c0_g1,0.247961932,-0.624127934,3.888332541,-0.160513003,0.872476979,0.999884302
TRINITY_DN10736_c0_g1,1.250298506,1.113288991,2.225256512,0.500296925,0.616866019,0.999884302
TRINITY_DN10738_c0_g1,1.609977953,0.918165582,1.747302731,0.525475961,0.59925236,0.999884302
TRINITY_DN1073_c0_g1,0.321850267,0.727095132,3.879350828,0.187427011,0.851325846,0.999884302
TRINITY_DN10740_c0_g1,24.71436846,-0.121487189,0.548923326,-0.22131905,0.824844018,0.999884302
TRINITY_DN10741_c0_g1,9.861644692,-0.131758399,0.835469804,-0.157705758,0.874688663,0.999884302
TRINITY_DN10744_c0_g1,2.178618825,1.127872681,1.581660258,0.713094152,0.475787498,0.999884302
TRINITY_DN10746_c0_g1,6.401534595,0.052880652,0.931035578,0.05679767,0.95470637,0.999884302
TRINITY_DN10752_c0_g1,1.267961836,-0.852114948,2.09498521,-0.406740317,0.684198726,0.999884302
TRINITY_DN10754_c0_g1,0.069028527,-1.930784439,4.245588195,-0.454774309,0.649271615,0.999884302
TRINITY_DN10756_c0_g1,17.3403196,-0.153350123,0.633567027,-0.242042462,0.808747262,0.999884302
TRINITY_DN10757_c0_g1,1.097294895,-0.158907972,2.173784403,-0.073101993,0.941724956,0.999884302
TRINITY_DN10759_c0_g1,0.071165599,-0.198456438,4.291890666,-0.046239863,0.96311907,0.999884302
TRINITY_DN10760_c0_g1,12.04022604,-0.00307017,0.747060078,-0.004109669,0.996720968,0.999884302
TRINITY_DN10760_c1_g1,20.32152603,0.088755661,0.663530207,0.133762804,0.893590141,0.999884302
TRINITY_DN10762_c0_g1,1.472040506,1.308009478,1.971522329,0.663451516,0.507041422,0.999884302
TRINITY_DN10765_c0_g1,2.931467345,0.332868663,1.377076952,0.241721178,0.808996219,0.999884302
TRINITY_DN10766_c0_g1,0.069028527,-1.930784439,4.245588195,-0.454774309,0.649271615,0.999884302
TRINITY_DN10767_c0_g1,0.176796333,-1.147664424,4.239825543,-0.270686709,0.786632,0.999884302
TRINITY_DN10768_c0_g1,0.502236823,1.541288284,3.281087404,0.469749231,0.63853419,0.999884302
TRINITY_DN10770_c0_g1,13.76124071,-1.33542944,0.732774925,-1.822427862,0.06839009,0.999884302
TRINITY_DN10771_c0_g1,1.496482852,0.038716318,1.982076706,0.019533209,0.984415745,0.999884302
TRINITY_DN10772_c0_g1,17.83381171,-0.445885664,0.597856307,-0.745807409,0.455783764,0.999884302
TRINITY_DN10778_c0_g1,8.216294814,0.584199042,0.943886397,0.618929401,0.535962869,0.999884302
