"brood 37 larvae, hour 24, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,1.1456032,-3.051141183,2.337824753,-1.305119718,0.191852085,0.99984863
TRINITY_DN10003_c0_g1,0.702095604,0.795069811,2.539863483,0.313036435,0.754252981,0.99984863
TRINITY_DN10006_c0_g1,1.532913846,-0.062053189,1.7154898,-0.036172287,0.971144983,0.99984863
TRINITY_DN10007_c0_g1,0.276206161,0.562042715,3.990919347,0.140830387,0.888003937,0.99984863
TRINITY_DN10013_c0_g1,2.705522892,0.958868918,1.309935677,0.731996948,0.46417043,0.99984863
TRINITY_DN10015_c0_g1,0.056652122,-0.447039784,4.316681804,-0.103560977,0.917517757,0.99984863
TRINITY_DN10016_c0_g1,2.08797558,-0.072393277,1.512117969,-0.047875416,0.961815532,0.99984863
TRINITY_DN10017_c0_g1,0.389349632,-1.595731301,3.491672492,-0.457010589,0.647663435,0.99984863
TRINITY_DN10018_c0_g1,0.160860208,-1.082660929,4.301796413,-0.251676468,0.801291147,0.99984863
TRINITY_DN1001_c0_g1,0.618157807,0.920050172,2.501151125,0.367850692,0.712984568,0.99984863
TRINITY_DN10020_c0_g1,0.056652122,-0.447039784,4.316681804,-0.103560977,0.917517757,0.99984863
TRINITY_DN10021_c0_g1,1.04612802,0.701703273,2.047160391,0.342769075,0.731772193,0.99984863
TRINITY_DN10024_c0_g1,1.957913034,1.568777134,1.537743909,1.02018101,0.307642622,0.99984863
TRINITY_DN10026_c0_g1,3.451991828,-0.79548967,1.448401005,-0.54921922,0.582855016,0.99984863
TRINITY_DN10028_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1002_c0_g1,1.199936576,0.964494677,2.064121856,0.467266346,0.640309331,0.99984863
TRINITY_DN10031_c0_g1,0.892322258,0.104035624,2.197265542,0.04734777,0.962236056,0.99984863
TRINITY_DN10032_c0_g1,13.57089751,-0.091531946,1.032452868,-0.088654842,0.929356222,0.99984863
TRINITY_DN10034_c0_g1,1.262669319,-3.085391965,2.573320573,-1.19899246,0.230530877,0.99984863
TRINITY_DN10036_c0_g1,3.695573018,0.698420996,1.176054409,0.593867929,0.552600451,0.99984863
TRINITY_DN1003_c0_g1,1.35651353,-0.526818135,1.924331338,-0.273766853,0.784263798,0.99984863
TRINITY_DN10040_c0_g1,5.989426855,0.754207701,0.973639727,0.774627082,0.438560049,0.99984863
TRINITY_DN10041_c0_g1,0.890280547,-1.163895649,2.494562732,-0.466573013,0.640805399,0.99984863
TRINITY_DN10042_c0_g1,1.415526182,-1.859129517,2.121991284,-0.876124954,0.380962108,0.99984863
TRINITY_DN10043_c0_g1,2.884417365,1.612503595,1.33810381,1.205066141,0.22817777,0.99984863
TRINITY_DN1004_c0_g1,2.785291822,-1.196536579,1.452416129,-0.823824905,0.410039054,0.99984863
TRINITY_DN10051_c0_g1,4.356274124,0.345116912,1.036283177,0.333033402,0.73910907,0.99984863
TRINITY_DN10055_c0_g1,4.210510697,0.736365296,1.054424826,0.69835732,0.48495376,0.99984863
TRINITY_DN10056_c0_g1,1.236473661,-1.576695013,2.209274093,-0.713671073,0.475430597,0.99984863
TRINITY_DN1005_c0_g1,0.797210328,0.304371901,2.315370795,0.131457088,0.895413731,0.99984863
TRINITY_DN10064_c0_g1,1.727917067,1.472418612,1.743528806,0.844504895,0.398387329,0.99984863
TRINITY_DN10065_c0_g1,1.532634086,0.446110711,1.783203024,0.250173819,0.802452931,0.99984863
TRINITY_DN10066_c0_g1,4.399374149,-0.513606267,1.223935902,-0.419634939,0.674752161,0.99984863
TRINITY_DN10067_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10068_c0_g1,1.748187357,1.346213003,1.649972059,0.815900485,0.414557055,0.99984863
TRINITY_DN1006_c0_g1,14.49476068,-0.233113222,0.669840465,-0.348013047,0.727830385,0.99984863
TRINITY_DN10070_c0_g1,0,NA,NA,NA,NA,NA
