"brood 33 juveniles, 4DPM, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN10575_c0_g1,15.99408113,-0.463634263,0.667662024,-0.694414608,0.487422235,1
TRINITY_DN10576_c0_g1,4.250346371,0.588528672,1.104317256,0.532934416,0.59407898,1
TRINITY_DN10577_c0_g1,10.84822968,0.12553309,0.604158311,0.207781782,0.835399358,1
TRINITY_DN10578_c0_g1,6.32743287,-1.179389149,0.866761757,-1.36068434,0.173613465,1
TRINITY_DN10579_c0_g1,2.789866108,-2.122576333,2.071704814,-1.024555389,0.305573023,1
TRINITY_DN1057_c0_g1,0.434924015,0.771014216,3.415259037,0.225755706,0.821391429,1
TRINITY_DN10582_c0_g1,39.33931079,0.01608211,0.348602744,0.046133057,0.963204198,1
TRINITY_DN10583_c0_g1,8.266721026,0.116304706,0.697563305,0.166729966,0.867582526,1
TRINITY_DN10585_c0_g1,103.8502745,-0.437648821,0.452085731,-0.968065989,0.333011414,1
TRINITY_DN10586_c0_g1,59.41724101,0.166165073,0.323998337,0.512857796,0.608050797,1
TRINITY_DN10587_c0_g1,4.9405267,-0.770875885,1.001967575,-0.769362107,0.441678377,1
TRINITY_DN10589_c0_g1,3.828196134,-0.175082666,1.061470307,-0.164943536,0.868988425,1
TRINITY_DN1058_c0_g1,15.24125504,1.105968947,0.534642941,2.068612269,0.038582486,1
TRINITY_DN10590_c0_g1,12.637458,0.432244705,0.580702395,0.744348068,0.456665928,1
TRINITY_DN10592_c0_g1,10.17270236,0.320748344,0.665402855,0.48203632,0.629780145,1
TRINITY_DN10593_c0_g1,9.520740829,0.585835489,0.736167711,0.795790796,0.426153642,1
TRINITY_DN10594_c0_g1,293.7096953,0.0275115,0.335436603,0.082016989,0.934633204,1
TRINITY_DN10595_c0_g1,14.93441312,0.050068738,0.553344763,0.090483802,0.927902765,1
TRINITY_DN10598_c0_g1,26.94134428,-0.487784092,0.548123694,-0.889916085,0.373510946,1
TRINITY_DN1059_c0_g1,27.89092669,-0.515133248,0.421596698,-1.221862626,0.221759581,1
TRINITY_DN105_c0_g1,25.48542068,-0.062232306,0.502199583,-0.12391947,0.901379037,1
TRINITY_DN10600_c0_g1,3.647297412,-1.017813273,1.070749563,-0.950561466,0.341827038,1
TRINITY_DN10603_c0_g1,8.011560907,-0.598105555,0.752783051,-0.794525799,0.426889396,1
TRINITY_DN10605_c0_g1,34.11338936,-0.195374487,0.380779402,-0.513091007,0.607887662,1
TRINITY_DN10606_c0_g1,12.4174506,0.080223052,0.575908829,0.13929818,0.889214528,1
TRINITY_DN10607_c0_g1,4.733639761,-0.339665838,0.905380882,-0.375163475,0.707538892,1
TRINITY_DN10608_c0_g1,11.6354949,0.242966386,0.611973772,0.397020913,0.691352039,1
TRINITY_DN10612_c0_g1,1.680252448,-1.205922701,1.57572228,-0.765314241,0.444084446,1
TRINITY_DN10613_c0_g1,10.06570178,-0.421005249,0.76494747,-0.550371451,0.582064626,1
TRINITY_DN10614_c0_g1,4.516077775,0.358691778,0.931818495,0.384937388,0.700283804,1
TRINITY_DN10615_c0_g1,48.03352453,-0.073721336,0.371541848,-0.198420007,0.842716465,1
TRINITY_DN10616_c0_g1,4.083624087,-1.185013728,1.001719201,-1.182979948,0.236817095,1
TRINITY_DN10617_c0_g1,34.65542671,0.47543295,0.541724808,0.877628166,0.380145539,1
TRINITY_DN10619_c0_g1,3.671153565,-5.386149959,1.698488786,-3.171142492,0.001518406,1
TRINITY_DN1061_c0_g1,10.54471196,-0.55472834,0.701853117,-0.790376685,0.429307814,1
