brood 37 (48-h) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b37_0_8A.fastq.trim.sam.counts,b37_0_8B.fastq.trim.sam.counts,b37_0_8C.fastq.trim.sam.counts,b37_0_8D.fastq.trim.sam.counts,b37_10_7.5A.fastq.trim.sam.counts,b37_10_7.5B.fastq.trim.sam.counts,b37_10_7.5C.fastq.trim.sam.counts,b37_10_7.5D.fastq.trim.sam.counts,b37_10_8A.fastq.trim.sam.counts,b37_10_8B.fastq.trim.sam.counts,b37_10_8C.fastq.trim.sam.counts,b37_10_8D.fastq.trim.sam.counts,b37_24_7.5A.fastq.trim.sam.counts,b37_24_7.5B.fastq.trim.sam.counts,b37_24_7.5C.fastq.trim.sam.counts,b37_24_7.5D.fastq.trim.sam.counts,b37_24_8A.fastq.trim.sam.counts,b37_24_8B.fastq.trim.sam.counts,b37_24_8C.fastq.trim.sam.counts,b37_24_8D.fastq.trim.sam.counts,b37_48_7.5A.fastq.trim.sam.counts,b37_48_7.5B.fastq.trim.sam.counts,b37_48_7.5C.fastq.trim.sam.counts,b37_48_7.5D.fastq.trim.sam.counts,b37_48_8A.fastq.trim.sam.counts,b37_48_8B.fastq.trim.sam.counts,b37_48_8C.fastq.trim.sam.counts,b37_48_8D.fastq.trim.sam.counts,b37_4_7.5A.fastq.trim.sam.counts,b37_4_7.5B.fastq.trim.sam.counts,b37_4_7.5C.fastq.trim.sam.counts,b37_4_7.5D.fastq.trim.sam.counts,b37_4_8A.fastq.trim.sam.counts,b37_4_8B.fastq.trim.sam.counts,b37_4_8C.fastq.trim.sam.counts,b37_4_8D.fastq.trim.sam.counts
TRINITY_DN13453_c0_g1,3,1,0,0,1,3,4,0,4,0,1,3,3,0,1,0,2,4,0,15,0,5,0,0,1,3,1,3,2,11,2,1,4,0,0,0
TRINITY_DN13455_c0_g1,13,15,6,0,11,27,25,0,5,7,11,16,12,0,23,3,18,29,8,34,40,95,3,8,26,57,9,40,38,32,36,10,40,0,4,1
TRINITY_DN13458_c0_g1,3,1,2,0,3,1,2,0,0,0,0,1,3,0,0,0,0,0,0,1,1,5,1,0,0,2,0,2,2,2,1,1,3,1,0,0
TRINITY_DN1345_c0_g1,34,48,39,10,54,35,48,0,14,26,48,63,18,7,23,5,22,51,18,85,79,118,9,29,25,68,16,40,71,114,25,27,86,2,6,2
TRINITY_DN13461_c0_g1,7,12,2,2,10,6,8,1,2,4,4,9,4,0,9,1,9,20,0,14,4,17,2,6,2,7,0,5,4,14,3,6,7,1,4,0
TRINITY_DN13462_c0_g1,5,2,2,1,1,3,7,0,2,1,0,3,7,0,0,0,0,5,2,6,2,10,1,2,3,6,0,0,2,5,0,1,8,0,0,0
TRINITY_DN13465_c0_g1,11,18,11,3,39,20,21,1,7,9,15,11,5,1,21,3,14,11,4,19,31,27,3,7,7,26,4,25,30,31,19,12,31,2,4,2
TRINITY_DN13467_c0_g1,5,7,8,1,1,5,16,0,3,2,4,8,2,0,5,1,1,4,6,21,10,23,2,4,7,27,7,10,5,22,6,4,17,0,2,0
TRINITY_DN13468_c0_g1,2,4,0,0,3,1,7,0,1,2,2,4,0,0,5,0,1,2,2,4,12,4,1,2,2,6,3,5,6,4,0,0,4,2,0,0
TRINITY_DN13470_c0_g1,0,2,0,1,0,0,1,0,0,0,1,2,0,0,2,0,0,2,2,2,0,4,1,0,0,2,2,1,1,1,1,0,0,0,0,0
TRINITY_DN13471_c0_g1,0,7,2,4,6,7,14,1,4,6,1,5,2,0,0,0,4,8,3,8,8,7,3,7,2,10,2,5,6,12,4,5,6,2,3,0
TRINITY_DN13478_c0_g1,3,3,0,1,0,5,4,1,0,1,4,5,1,0,2,0,1,0,2,9,8,8,2,1,3,3,0,2,2,6,7,2,3,1,0,0
TRINITY_DN13479_c0_g1,2,4,2,0,9,0,6,0,0,4,5,2,1,0,4,0,2,3,1,10,12,10,2,8,6,11,7,14,5,6,4,3,12,0,3,0
TRINITY_DN13482_c0_g1,4,4,2,1,2,7,9,0,0,1,1,5,4,1,2,0,0,5,2,6,3,11,1,3,6,20,6,9,7,11,1,5,4,0,1,0
TRINITY_DN13483_c0_g1,5,13,9,5,23,14,25,0,7,8,13,18,13,0,10,1,7,10,2,38,33,43,9,11,4,21,11,9,25,31,6,5,24,0,1,0
TRINITY_DN13485_c0_g1,2,6,7,2,0,12,11,0,2,2,2,8,4,0,3,0,1,9,0,15,9,45,0,4,4,15,11,11,13,22,6,5,20,0,2,1
TRINITY_DN13486_c0_g1,2,4,5,1,1,2,3,0,0,1,0,0,0,1,1,0,0,1,0,1,2,17,0,0,2,7,0,5,0,1,0,1,5,0,0,0
TRINITY_DN13487_c0_g1,0,2,1,0,3,0,4,0,0,3,2,7,1,0,0,0,1,1,0,4,3,9,1,0,3,5,4,3,4,1,2,1,4,0,2,0
TRINITY_DN13489_c0_g1,1,3,0,0,1,2,2,0,1,0,1,3,0,0,2,0,2,3,0,2,5,9,0,2,1,7,1,0,5,4,12,4,8,0,0,0
TRINITY_DN1348_c0_g1,3,4,7,1,8,4,8,0,2,2,7,4,1,2,6,5,3,3,6,21,23,15,4,5,2,11,4,6,18,8,6,1,6,2,1,1
TRINITY_DN13492_c0_g1,0,0,0,0,1,0,1,0,1,1,0,2,1,0,4,0,0,2,0,4,4,9,1,1,2,0,0,0,0,3,0,0,5,0,0,0
TRINITY_DN13495_c0_g1,3,5,8,1,7,9,8,0,1,8,2,11,4,0,3,0,2,3,6,15,10,8,1,0,3,7,1,8,18,20,6,4,6,0,2,0
TRINITY_DN13497_c0_g1,0,5,2,1,1,5,3,0,1,0,0,3,3,0,2,0,0,2,0,12,4,14,2,3,1,9,6,3,1,4,0,2,6,0,1,0
TRINITY_DN13498_c0_g1,2,0,4,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,4,0,6,0,2,1,4,2,0,2,1,2,0,4,0,0,0
TRINITY_DN13500_c0_g1,9,17,13,4,7,13,18,0,5,8,5,9,10,4,9,2,0,7,1,32,17,38,2,9,11,42,11,19,6,39,11,5,30,2,3,0
TRINITY_DN13501_c0_g1,4,8,1,2,5,9,11,0,2,2,8,8,2,0,9,0,5,5,5,15,15,21,3,3,3,22,1,2,5,12,23,2,18,0,2,1
TRINITY_DN13502_c0_g1,6,5,2,0,0,4,6,0,8,0,1,12,1,0,2,0,0,5,0,19,14,33,1,6,4,0,4,4,5,15,0,2,24,0,0,0
TRINITY_DN13509_c0_g1,63,63,53,9,34,45,89,0,20,19,38,101,52,3,39,5,38,69,25,188,80,119,25,31,38,131,23,67,58,128,48,42,149,2,10,3
TRINITY_DN13512_c0_g1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,1,0,4,0,3,1,2,1,0,0,0,0,6,0,0,1,0,1,0
TRINITY_DN13512_c0_g2,4,2,2,0,7,7,12,0,1,1,8,5,7,1,10,0,4,5,4,17,15,14,1,0,7,15,2,4,10,20,9,6,27,0,5,0
TRINITY_DN13513_c0_g1,8,8,7,0,6,9,9,0,2,0,1,9,0,0,1,0,3,12,3,3,2,10,2,5,5,10,1,5,12,15,3,7,10,0,0,0
TRINITY_DN13514_c0_g1,4,5,9,1,1,4,13,0,4,2,4,15,5,0,8,1,4,18,0,21,10,29,7,1,8,13,4,9,9,18,2,3,21,0,1,0
TRINITY_DN13515_c0_g1,3,4,11,1,13,8,11,0,2,11,8,14,3,3,2,3,4,22,0,18,11,19,3,6,1,11,6,9,11,20,4,9,17,0,3,0
TRINITY_DN13516_c0_g1,13,11,16,6,17,11,13,0,3,15,9,6,7,1,3,0,16,14,3,22,25,21,1,3,8,24,11,15,18,37,18,10,28,1,4,0
TRINITY_DN13518_c0_g1,11,29,14,4,29,22,51,0,22,6,8,62,35,0,13,2,16,39,4,63,45,95,12,17,37,49,15,27,30,65,11,17,82,1,3,3
TRINITY_DN13519_c0_g1,17,21,11,5,11,30,12,2,4,9,7,9,5,1,12,2,5,8,1,7,17,31,1,4,11,6,6,8,25,52,15,21,36,0,2,2
TRINITY_DN13521_c0_g1,1,1,4,0,0,4,0,0,0,0,0,1,1,0,1,0,0,4,0,7,1,11,1,1,0,2,0,8,3,0,0,0,3,0,0,0
TRINITY_DN13522_c0_g1,16,6,3,0,5,26,27,0,7,0,2,13,12,0,20,0,0,28,0,49,10,108,6,14,30,31,14,20,8,21,9,2,33,0,4,0
TRINITY_DN13524_c0_g1,2,3,2,0,6,3,8,0,0,1,7,5,2,1,1,0,6,3,2,5,17,15,2,1,2,9,8,7,12,8,14,5,15,0,1,0
TRINITY_DN13527_c0_g1,2,1,3,0,0,1,3,0,0,1,3,4,4,0,1,0,0,2,0,4,4,8,0,5,1,12,2,16,5,4,1,1,10,0,0,0
TRINITY_DN13528_c0_g1,25,24,24,6,10,16,39,0,10,2,5,24,16,0,19,0,5,24,4,76,17,64,7,13,9,59,6,23,17,47,13,17,49,0,6,0
TRINITY_DN13529_c0_g1,27,24,35,8,28,16,71,0,14,9,8,56,35,0,27,3,12,59,6,107,46,185,14,16,34,102,19,49,70,51,15,14,75,0,1,0
TRINITY_DN1352_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN13530_c0_g1,0,2,0,0,2,6,1,0,1,0,0,1,0,0,4,0,0,1,0,1,1,4,0,1,0,1,0,2,1,2,0,0,0,0,0,0
TRINITY_DN13532_c0_g1,14,24,25,7,18,36,21,1,2,10,16,32,12,0,17,6,9,17,13,60,31,60,15,20,20,65,15,26,38,40,12,14,44,1,4,0
TRINITY_DN13534_c0_g1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,2,3,0,1,1,1,0,0,0,1,1,1,0,0,0,0
TRINITY_DN13536_c0_g1,10,16,14,4,8,25,24,0,7,1,8,22,8,0,11,0,2,7,5,13,22,26,4,9,7,28,3,16,10,39,5,12,31,1,1,0
TRINITY_DN13539_c0_g1,25,21,24,7,92,25,50,0,20,42,79,46,37,4,21,13,74,37,30,135,203,193,14,26,21,67,33,23,115,55,63,23,76,7,8,3
TRINITY_DN13540_c0_g1,13,17,5,4,4,11,21,2,0,0,2,13,7,0,9,0,1,14,0,12,12,41,2,5,12,24,10,22,8,48,11,12,23,0,1,0
TRINITY_DN13543_c0_g1,1,0,0,0,1,0,1,0,1,0,0,2,1,0,2,0,0,3,0,4,2,2,0,3,2,2,2,0,5,0,1,1,1,0,0,0
TRINITY_DN13547_c0_g1,2,4,0,0,0,0,3,0,1,0,0,4,1,0,0,0,0,0,2,4,2,5,0,0,0,2,0,3,0,1,2,1,0,0,0,0
TRINITY_DN13549_c0_g1,1,2,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,2,0,2,2,7,1,2,1,6,3,6,1,1,1,0,1,0,0,0
TRINITY_DN1354_c0_g1,1,2,4,0,1,0,9,0,0,0,0,2,1,0,0,0,0,3,0,4,1,10,1,3,0,6,0,3,2,5,1,3,8,0,0,0
TRINITY_DN13550_c1_g1,1,2,1,0,1,1,3,0,0,0,0,4,1,0,2,0,1,1,1,4,2,5,1,1,0,5,2,2,0,5,0,1,3,0,1,0
TRINITY_DN13551_c0_g1,1,4,0,0,0,3,3,0,4,1,0,7,4,0,1,0,0,1,0,7,1,5,1,1,1,5,1,2,1,2,0,0,6,0,1,0
TRINITY_DN13553_c0_g1,1,2,2,0,1,0,2,0,1,1,1,7,0,0,0,0,0,1,0,9,3,2,3,1,0,0,2,2,2,2,0,0,3,0,0,0
TRINITY_DN13556_c0_g1,7,8,8,2,17,8,10,0,6,6,4,9,2,0,1,2,3,11,1,10,12,22,2,10,5,17,6,10,7,11,4,5,14,1,0,1
TRINITY_DN13559_c1_g1,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,3,1,1,0,2,0,4,0,4,2,3,0,2,5,0,0,0
TRINITY_DN13563_c0_g1,5,8,6,3,8,26,18,0,5,4,3,8,4,0,8,0,7,8,4,20,11,15,8,5,9,22,15,14,18,26,11,8,23,5,2,0
TRINITY_DN13564_c0_g1,1,2,3,0,3,0,3,0,2,1,2,7,0,0,2,0,3,4,3,2,5,7,0,1,0,5,1,0,7,5,0,2,5,0,0,0
TRINITY_DN13568_c0_g1,3,2,1,0,6,1,2,0,0,7,1,9,1,0,1,0,4,3,3,5,13,11,3,3,11,16,5,15,11,10,5,7,7,0,0,0
TRINITY_DN13570_c0_g1,0,5,0,0,4,1,9,0,1,0,4,12,5,1,6,1,0,8,1,11,6,16,1,1,13,7,5,6,9,13,2,3,17,1,1,0
TRINITY_DN13571_c0_g1,7,8,8,2,3,4,8,0,3,3,1,12,0,0,1,0,2,11,3,10,14,23,3,7,6,11,3,7,8,5,2,4,15,1,1,0
TRINITY_DN13572_c0_g1,4,2,8,0,1,5,9,0,2,1,1,5,2,0,2,0,0,2,1,9,2,9,0,1,3,4,1,3,4,5,0,3,7,0,1,0
TRINITY_DN13574_c0_g1,27,23,28,2,34,43,46,0,9,29,22,37,10,1,22,1,12,37,7,38,50,99,8,19,19,35,11,45,70,73,50,32,47,4,6,1
TRINITY_DN13575_c0_g1,6,5,3,4,3,8,17,0,0,2,1,8,8,0,6,0,6,9,2,12,7,21,1,1,8,14,2,13,9,15,1,0,16,0,1,0
TRINITY_DN13576_c0_g1,3,1,0,1,6,1,0,0,5,1,3,2,0,0,0,0,3,5,1,3,3,7,0,1,7,12,0,8,4,1,1,5,4,0,0,0
TRINITY_DN1357_c0_g1,3,7,8,2,6,10,13,0,2,5,7,13,3,0,10,0,7,12,7,28,8,58,1,7,20,33,6,24,22,12,12,7,17,0,1,0
TRINITY_DN13580_c0_g1,13,8,0,4,11,7,5,7,0,10,8,10,0,11,10,9,4,8,6,0,9,0,9,11,13,9,10,6,14,12,10,1,7,5,0,1
TRINITY_DN13581_c0_g1,1,2,0,0,0,3,4,0,1,0,1,1,0,0,0,0,0,1,2,2,1,5,0,1,1,2,0,1,3,4,0,0,1,0,0,0
TRINITY_DN13582_c0_g1,6,5,6,0,2,4,6,0,3,4,3,6,2,0,1,0,4,4,1,5,1,10,1,7,4,9,2,2,2,6,0,6,14,0,0,0
TRINITY_DN13584_c0_g1,5,7,6,1,4,1,9,0,3,4,9,13,4,0,9,1,3,13,1,12,11,25,9,9,11,27,12,13,13,17,4,6,26,0,0,0
TRINITY_DN13585_c0_g1,2,5,8,0,3,2,4,0,0,3,2,5,1,0,2,0,1,4,1,12,9,15,1,1,0,9,3,13,3,5,2,2,10,0,0,0
TRINITY_DN13586_c0_g1,1,0,2,0,2,2,0,0,0,0,1,3,1,0,1,0,0,1,0,2,2,5,0,0,2,3,1,1,2,4,1,2,1,0,1,0
TRINITY_DN13587_c0_g1,0,0,0,0,0,5,0,0,2,1,0,1,0,0,0,0,2,1,0,4,2,3,0,1,1,1,0,0,0,7,0,0,3,0,0,0
TRINITY_DN13588_c0_g1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,1,0,0,2,0,0,0
TRINITY_DN13590_c0_g1,1,6,0,3,11,2,4,0,4,0,5,2,1,0,2,0,1,4,0,3,7,11,3,3,1,6,2,2,4,5,3,5,6,0,1,0
TRINITY_DN13591_c0_g1,5,3,2,0,1,2,1,1,3,0,0,4,2,0,1,0,2,3,0,2,0,3,0,2,3,5,1,3,2,11,3,1,7,0,0,0
TRINITY_DN13593_c0_g1,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
TRINITY_DN13596_c0_g1,1,8,3,2,16,7,10,0,2,2,2,3,4,0,3,0,4,3,0,8,7,27,4,9,4,12,2,7,13,14,11,4,16,0,1,0
TRINITY_DN13597_c0_g1,1,3,3,0,3,0,2,0,0,0,1,1,2,0,1,0,0,1,3,3,4,8,0,0,0,1,0,3,4,2,0,0,0,0,0,0
TRINITY_DN13599_c0_g1,20,34,41,12,38,36,60,0,15,31,28,44,14,1,41,3,19,37,15,72,97,208,8,32,56,125,36,66,59,76,30,39,67,4,6,0
TRINITY_DN1359_c0_g1,17,18,14,6,27,26,21,2,5,9,14,25,16,0,9,3,11,38,9,42,28,52,10,6,12,45,16,41,43,60,35,13,44,1,6,0
TRINITY_DN135_c0_g1,0,6,2,2,1,2,4,0,0,0,1,2,4,0,2,0,0,1,0,8,4,15,0,1,5,4,1,3,1,2,3,3,9,0,0,0
TRINITY_DN13601_c0_g1,1,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,2,0,5,1,5,0,0,1,0,0,2,0,3,0,0,2,0,0,0
TRINITY_DN13602_c0_g1,17,14,8,4,8,18,24,1,11,5,3,16,11,3,12,0,14,24,7,36,18,35,5,8,11,30,9,13,17,32,9,8,31,1,5,0
TRINITY_DN13605_c0_g1,0,4,3,3,0,0,5,0,1,2,0,5,4,0,1,0,0,3,0,9,2,6,1,3,2,9,3,2,4,7,1,3,8,0,0,0
TRINITY_DN13606_c0_g1,1,2,5,1,0,8,2,0,1,0,1,6,3,0,2,0,1,7,1,16,4,20,0,1,4,15,6,14,1,6,3,2,7,0,0,0
TRINITY_DN13607_c0_g1,12,20,9,5,21,13,32,5,3,15,14,35,9,0,20,3,10,12,3,41,33,41,7,23,20,44,21,31,33,40,28,15,25,2,4,1
TRINITY_DN13608_c0_g1,2,1,1,0,2,4,5,0,0,0,2,2,3,0,1,0,1,4,2,16,0,8,1,0,1,3,2,3,5,9,1,1,0,0,0,0
TRINITY_DN13609_c0_g1,4,7,3,0,10,4,8,0,6,1,1,10,7,0,4,0,4,6,1,15,7,11,5,4,6,9,7,8,10,9,3,0,13,0,0,0
TRINITY_DN1360_c0_g1,3,6,11,1,2,2,8,0,0,1,1,5,5,0,3,0,1,6,0,6,8,11,1,1,4,10,2,4,7,17,1,1,5,0,0,0
TRINITY_DN13610_c0_g1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0
TRINITY_DN13612_c0_g1,64,70,70,20,30,88,81,1,20,22,39,76,46,0,48,3,16,73,6,95,58,145,27,33,57,139,25,99,98,151,31,42,154,2,10,2
TRINITY_DN13618_c0_g1,29,34,30,9,26,25,54,2,32,10,28,50,36,6,35,7,22,55,4,79,67,104,10,15,14,60,18,47,56,72,26,22,84,1,3,1
TRINITY_DN13619_c0_g1,2,4,2,0,1,10,1,0,0,3,1,9,0,0,1,0,0,2,0,8,2,8,1,0,2,10,0,6,16,7,4,2,5,1,2,0
TRINITY_DN13621_c0_g1,1,1,0,0,2,1,2,0,0,0,0,0,0,0,6,0,0,2,0,1,0,5,0,1,0,1,2,3,2,0,7,0,0,0,0,0
TRINITY_DN13622_c0_g1,1,2,2,1,0,0,3,0,0,0,0,2,1,0,1,0,0,5,0,1,0,12,1,0,2,3,1,7,0,4,0,2,11,0,0,0
TRINITY_DN13623_c0_g1,1,1,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0,3,3,6,0,1,2,4,2,4,0,0,0,2,1,0,1,0
TRINITY_DN13624_c0_g1,2,1,1,0,5,9,8,0,2,1,0,5,1,1,5,0,0,4,0,11,7,16,1,1,5,9,3,6,3,10,2,1,10,0,0,0
TRINITY_DN13625_c0_g1,0,0,2,0,2,1,1,0,1,0,0,4,1,0,1,0,0,1,0,2,0,3,0,0,1,1,2,0,2,0,2,2,3,0,0,0
TRINITY_DN13626_c0_g1,10,31,11,2,3,17,24,0,8,2,3,32,13,0,20,0,0,34,0,31,15,81,7,4,14,40,10,19,19,34,3,10,53,0,2,0
TRINITY_DN13631_c0_g1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,1,1,4,1,0,1,0,3,0,0,0,0
TRINITY_DN13634_c0_g1,12,11,9,1,13,25,18,0,2,8,0,17,8,0,14,0,6,15,6,32,18,50,3,10,23,38,17,20,21,36,3,17,24,0,1,0
TRINITY_DN13638_c0_g1,68,48,49,13,51,58,82,0,21,23,15,75,21,2,41,6,8,58,27,92,54,141,13,30,67,148,35,82,70,127,34,41,123,0,11,1
TRINITY_DN1363_c0_g1,3,11,10,2,5,14,13,0,5,2,1,18,16,1,8,0,1,17,2,26,18,38,6,6,11,31,13,23,4,27,5,12,23,0,2,1
TRINITY_DN13642_c0_g1,27,28,23,7,35,36,27,1,13,23,19,37,13,2,24,4,19,27,12,61,65,79,17,20,33,51,19,37,42,74,17,29,60,0,4,0
TRINITY_DN13644_c0_g1,9,4,9,0,7,19,32,0,9,4,11,13,8,3,10,0,7,11,6,47,39,70,7,10,11,15,12,19,29,20,5,4,20,1,2,0
TRINITY_DN13648_c0_g1,39,39,31,15,14,38,82,0,43,5,3,58,26,0,35,0,0,49,0,59,4,138,7,23,25,65,34,50,10,92,3,26,96,1,10,0
TRINITY_DN13649_c0_g1,19,25,13,9,13,19,36,0,8,8,7,29,16,2,21,1,18,25,15,41,27,53,15,16,27,58,15,35,39,63,14,17,64,2,3,0
TRINITY_DN13649_c1_g1,19,10,14,3,10,11,18,0,5,9,3,18,9,1,4,0,0,18,0,25,23,60,2,11,16,43,11,17,7,15,20,5,34,0,3,0
TRINITY_DN13649_c1_g2,2,0,2,0,1,1,13,0,2,4,2,3,1,0,3,0,1,5,3,10,1,12,2,2,10,13,4,7,5,8,0,2,6,0,0,0
TRINITY_DN1364_c0_g1,7,4,6,1,7,4,5,0,0,0,0,12,6,0,9,0,0,7,1,15,0,22,0,2,3,7,1,8,4,7,0,1,23,0,3,0
TRINITY_DN13650_c0_g1,9,3,7,0,1,4,5,0,1,0,0,6,4,0,3,0,0,9,0,15,3,14,0,3,4,4,5,4,4,13,0,0,7,0,1,0
TRINITY_DN13652_c0_g1,7,3,4,1,2,3,1,0,4,4,0,9,5,0,3,0,0,2,0,8,4,6,1,4,3,9,2,1,2,1,0,3,6,0,0,0
TRINITY_DN13653_c0_g1,0,3,1,0,6,2,0,0,2,2,2,2,1,0,4,0,4,2,7,7,13,5,4,1,1,5,1,2,5,4,2,0,5,0,0,0
TRINITY_DN13654_c0_g1,0,3,0,0,4,4,3,0,2,2,4,4,2,0,10,0,3,4,1,13,19,6,1,0,1,12,4,2,7,11,0,1,8,2,0,0
TRINITY_DN13654_c1_g1,4,1,2,0,3,2,2,0,3,1,1,3,1,0,3,0,0,3,0,10,2,11,0,3,5,5,1,1,3,5,1,3,4,0,0,0
TRINITY_DN13656_c0_g1,2,2,5,1,9,8,7,0,5,7,3,4,1,1,1,0,0,1,0,10,7,13,1,2,2,6,5,2,7,3,5,2,7,0,1,1
TRINITY_DN13658_c0_g1,0,1,0,0,0,1,3,0,1,0,0,3,0,0,0,0,0,2,0,0,1,4,0,0,3,13,0,5,1,3,0,0,2,0,0,0
TRINITY_DN13659_c0_g1,0,0,1,0,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,1,7,0,0,1,3,0,1,3,0,0,0
TRINITY_DN13661_c0_g1,2,0,2,0,4,0,9,0,0,0,0,4,4,0,5,0,0,2,0,14,2,17,2,2,4,5,5,7,7,5,3,0,5,0,0,0
TRINITY_DN13662_c0_g1,1,0,1,0,1,2,1,0,2,0,3,0,0,0,3,0,2,6,0,0,5,6,3,2,4,8,4,9,2,4,1,0,1,0,0,0
TRINITY_DN13662_c1_g1,0,0,0,0,0,1,1,0,0,4,0,0,1,0,3,0,1,0,0,0,3,12,0,0,1,2,0,1,5,1,0,0,4,0,0,0
TRINITY_DN13663_c0_g1,3,4,6,0,3,4,12,0,1,1,0,7,2,0,5,0,0,4,1,3,0,14,3,4,3,13,1,4,10,9,0,1,9,0,0,0
TRINITY_DN13667_c0_g1,2,1,1,2,2,3,1,0,1,11,0,3,5,1,1,0,0,3,0,9,4,10,0,2,4,6,1,2,2,7,3,1,11,0,0,0
TRINITY_DN13668_c0_g1,1,0,1,0,0,1,3,0,0,4,2,3,2,0,0,0,0,2,0,8,8,7,0,1,7,1,3,0,2,1,3,1,5,0,0,0
TRINITY_DN13669_c0_g1,14,34,19,7,27,47,36,2,9,11,16,33,13,2,33,1,8,28,3,42,30,78,13,20,24,51,9,40,40,36,26,18,40,1,6,1
TRINITY_DN13671_c0_g1,0,1,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TRINITY_DN13679_c0_g1,3,8,3,1,2,5,3,0,0,0,0,6,3,0,5,4,0,5,2,12,1,12,0,3,2,9,1,7,5,12,0,2,14,1,2,0
TRINITY_DN13681_c0_g1,1,2,3,1,7,3,1,0,4,1,9,4,7,0,0,0,0,7,0,8,7,17,2,1,5,4,0,1,3,5,4,4,8,0,0,0
TRINITY_DN13682_c0_g1,2,3,5,2,4,3,9,0,4,2,6,6,4,0,5,0,3,5,0,8,8,18,1,6,3,14,6,11,15,24,0,1,15,0,1,0
TRINITY_DN13683_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,2,0,0,0
TRINITY_DN13684_c0_g1,10,12,8,1,9,8,6,0,3,1,3,10,5,0,4,1,1,5,1,5,8,20,2,4,5,8,2,3,10,6,3,5,14,1,2,0
TRINITY_DN13686_c0_g1,2,7,5,0,0,5,5,0,0,2,0,4,2,0,5,0,4,4,2,4,8,8,1,4,2,7,9,10,12,16,0,2,8,1,0,0
TRINITY_DN13687_c0_g1,4,2,2,0,1,5,2,0,4,0,2,6,1,0,3,4,2,6,2,11,3,8,1,2,5,16,4,9,6,13,5,4,14,0,1,0
TRINITY_DN13689_c0_g1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,7,0,0,1,0,1,2,0,0,0,0,0
TRINITY_DN13690_c0_g1,2,7,4,1,18,3,13,0,4,3,2,10,2,0,5,0,10,4,4,12,14,19,1,3,13,21,2,17,6,15,6,2,11,1,0,1
TRINITY_DN13690_c1_g1,5,1,2,2,3,5,10,0,0,3,4,7,3,0,5,0,1,6,1,10,8,12,4,3,5,10,2,6,4,7,10,4,13,0,1,0
TRINITY_DN13692_c0_g1,0,5,1,2,2,0,1,0,1,2,0,4,0,0,2,0,1,2,1,11,15,4,1,1,3,4,2,1,7,2,0,2,1,0,0,0
TRINITY_DN13693_c0_g1,0,0,0,0,0,0,2,0,0,1,0,7,2,0,3,1,3,4,0,5,2,3,0,1,1,2,3,1,3,1,4,0,2,0,0,0
TRINITY_DN13694_c0_g1,11,2,11,3,12,7,10,2,1,8,14,9,4,2,3,0,4,10,1,20,22,26,5,8,9,28,14,13,16,18,4,7,8,2,0,0
TRINITY_DN13698_c0_g1,9,40,28,10,26,41,46,1,10,32,32,35,20,1,16,4,17,28,16,67,61,107,8,16,23,75,32,39,94,57,58,23,45,1,0,0
TRINITY_DN1369_c0_g1,1,1,0,0,0,1,1,0,2,1,2,6,1,0,1,0,0,1,0,2,0,4,0,0,0,0,3,2,4,2,0,0,1,0,0,0
TRINITY_DN136_c0_g1,6,6,9,5,4,9,5,0,3,3,7,5,6,1,8,0,4,6,3,20,11,21,5,6,6,10,2,6,8,25,4,4,20,1,2,0
TRINITY_DN13700_c0_g1,16,20,11,6,15,12,19,0,4,8,11,24,5,2,6,1,6,18,5,25,44,29,3,11,9,37,22,23,20,31,9,12,25,0,4,0
TRINITY_DN13704_c0_g1,1,1,0,0,4,3,3,0,0,1,2,1,1,0,1,0,0,0,0,7,1,2,0,1,1,2,0,0,0,2,1,1,2,0,0,0
