brood 37 (48-h) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b37_0_8A.fastq.trim.sam.counts,b37_0_8B.fastq.trim.sam.counts,b37_0_8C.fastq.trim.sam.counts,b37_0_8D.fastq.trim.sam.counts,b37_10_7.5A.fastq.trim.sam.counts,b37_10_7.5B.fastq.trim.sam.counts,b37_10_7.5C.fastq.trim.sam.counts,b37_10_7.5D.fastq.trim.sam.counts,b37_10_8A.fastq.trim.sam.counts,b37_10_8B.fastq.trim.sam.counts,b37_10_8C.fastq.trim.sam.counts,b37_10_8D.fastq.trim.sam.counts,b37_24_7.5A.fastq.trim.sam.counts,b37_24_7.5B.fastq.trim.sam.counts,b37_24_7.5C.fastq.trim.sam.counts,b37_24_7.5D.fastq.trim.sam.counts,b37_24_8A.fastq.trim.sam.counts,b37_24_8B.fastq.trim.sam.counts,b37_24_8C.fastq.trim.sam.counts,b37_24_8D.fastq.trim.sam.counts,b37_48_7.5A.fastq.trim.sam.counts,b37_48_7.5B.fastq.trim.sam.counts,b37_48_7.5C.fastq.trim.sam.counts,b37_48_7.5D.fastq.trim.sam.counts,b37_48_8A.fastq.trim.sam.counts,b37_48_8B.fastq.trim.sam.counts,b37_48_8C.fastq.trim.sam.counts,b37_48_8D.fastq.trim.sam.counts,b37_4_7.5A.fastq.trim.sam.counts,b37_4_7.5B.fastq.trim.sam.counts,b37_4_7.5C.fastq.trim.sam.counts,b37_4_7.5D.fastq.trim.sam.counts,b37_4_8A.fastq.trim.sam.counts,b37_4_8B.fastq.trim.sam.counts,b37_4_8C.fastq.trim.sam.counts,b37_4_8D.fastq.trim.sam.counts
TRINITY_DN10051_c0_g1,4,8,5,1,5,10,14,0,4,3,3,11,5,0,5,0,2,8,1,15,11,41,1,6,10,10,5,17,26,22,5,9,14,0,0,0
TRINITY_DN10055_c0_g1,4,10,5,0,5,2,5,0,1,0,5,7,4,0,7,0,3,7,1,7,6,5,1,3,5,15,0,0,14,15,3,3,17,1,1,0
TRINITY_DN10056_c0_g1,1,0,0,0,2,1,5,0,0,0,0,1,1,0,0,0,0,5,1,3,4,5,0,0,0,2,0,0,3,6,0,1,4,0,0,0
TRINITY_DN1005_c0_g1,0,1,2,0,6,0,3,0,1,1,4,3,1,0,1,0,0,1,0,6,13,10,0,2,1,3,0,5,3,0,0,0,6,0,1,0
TRINITY_DN10064_c0_g1,1,4,1,0,0,0,1,0,0,0,0,3,5,0,1,0,0,1,0,9,0,10,0,0,0,5,3,1,0,4,0,1,4,0,0,0
TRINITY_DN10065_c0_g1,0,1,0,0,0,1,2,1,0,0,4,2,0,0,4,1,1,2,0,7,2,1,0,2,2,1,6,1,0,4,0,0,6,0,0,0
TRINITY_DN10066_c0_g1,1,0,5,0,1,4,3,0,1,7,2,12,6,0,0,1,1,9,4,11,11,16,0,2,1,3,1,3,4,5,6,3,4,0,1,0
TRINITY_DN10067_c0_g1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0
TRINITY_DN10068_c0_g1,2,5,4,0,0,3,2,0,1,1,1,6,4,1,2,2,0,2,0,8,14,8,1,0,2,5,2,5,1,9,3,6,2,0,0,0
TRINITY_DN1006_c0_g1,12,44,21,3,15,39,39,0,12,3,1,35,12,1,13,1,11,28,4,48,22,59,8,18,14,49,6,28,36,27,25,17,62,0,4,0
TRINITY_DN10070_c0_g1,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,3,1,1,0,1,0
TRINITY_DN10074_c0_g1,8,8,9,4,3,22,16,0,11,1,0,30,9,0,10,0,0,11,2,39,11,64,13,12,14,14,4,12,5,19,1,10,35,0,3,0
TRINITY_DN10075_c0_g1,14,5,6,0,9,6,26,0,7,3,1,9,8,0,10,0,0,26,2,29,7,32,2,3,2,29,1,6,11,21,0,14,25,0,1,0
TRINITY_DN10076_c0_g1,2,1,4,0,0,2,6,0,1,0,0,4,3,0,2,0,0,1,0,8,0,6,1,1,1,2,2,2,2,10,0,1,1,0,1,0
TRINITY_DN10077_c0_g1,0,1,1,0,3,1,1,0,0,0,0,3,3,0,1,0,1,1,0,1,1,6,2,0,0,4,2,0,6,0,3,1,3,0,0,0
TRINITY_DN10078_c0_g1,6,4,8,3,13,5,17,0,7,3,5,17,14,0,4,0,5,16,2,19,15,39,6,16,10,22,4,10,13,14,3,4,27,0,1,0
