"brood 33 larvae, day 4, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,8.06549086,-1.62222736,1.162884673,-1.395002787,0.163014999,1
TRINITY_DN10003_c0_g1,6.076036369,0.488581911,1.386674117,0.352340831,0.72458267,1
TRINITY_DN10006_c0_g1,5.12789729,-1.422966991,1.392329405,-1.022004553,0.306778745,1
TRINITY_DN10007_c0_g1,6.183456047,-2.278293012,1.478880576,-1.540552394,0.123425762,1
TRINITY_DN10013_c0_g1,12.42161722,-0.690392961,0.884850149,-0.780237153,0.435251298,1
TRINITY_DN10015_c0_g1,0.457486244,2.212267764,4.730948195,0.467616146,0.640059116,1
TRINITY_DN10016_c0_g1,12.61733287,-0.565673355,0.8806537,-0.642333479,0.520656681,1
TRINITY_DN10017_c0_g1,4.735605516,0.3301351,1.361410628,0.242494875,0.808396728,1
TRINITY_DN10018_c0_g1,0.474487739,0.787160059,4.57578154,0.172027456,0.863415944,1
TRINITY_DN1001_c0_g1,3.172755665,-0.103259602,1.783526547,-0.057896308,0.953831224,1
TRINITY_DN10020_c0_g1,0.609408305,-2.31169248,4.172185607,-0.554072301,0.579529366,1
TRINITY_DN10021_c0_g1,3.654639904,0.737452287,1.541201041,0.478491947,0.632300105,1
TRINITY_DN10024_c0_g1,22.36944404,0.18681401,0.663403318,0.281599451,0.778250661,1
TRINITY_DN10026_c0_g1,11.44773796,-0.621531398,0.907378992,-0.684974419,0.493360064,1
TRINITY_DN10028_c0_g1,0.790512604,-3.045872502,3.434211497,-0.886920478,0.375121716,1
TRINITY_DN1002_c0_g1,15.10430696,-0.160385206,0.832136191,-0.192739131,0.847163276,1
TRINITY_DN10031_c0_g1,16.32050452,-0.010782578,0.798653873,-0.01350094,0.989228135,1
TRINITY_DN10032_c0_g1,14.79073189,1.133358888,0.862795264,1.313589602,0.18898435,1
TRINITY_DN10036_c0_g1,18.91749032,-0.218390234,0.729685405,-0.299293685,0.764715972,1
TRINITY_DN1003_c0_g1,5.880713241,0.403258379,1.237716419,0.325808378,0.744569339,1
TRINITY_DN10040_c0_g1,3.342943397,2.191997848,1.650015563,1.328471014,0.184022553,1
TRINITY_DN10041_c0_g1,2.896756435,0.475824216,1.857213217,0.256203333,0.797793835,1
TRINITY_DN10042_c0_g1,11.85974092,0.651825246,0.882504163,0.738608693,0.460144644,1
TRINITY_DN10043_c0_g1,16.67837314,-0.401449387,0.781975859,-0.513378236,0.607686767,1
TRINITY_DN1004_c0_g1,4.222348652,1.655543046,1.511484278,1.095309472,0.273381079,1
TRINITY_DN10051_c0_g1,33.0912037,-0.110549782,0.667722012,-0.165562584,0.868501194,1
TRINITY_DN10053_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10055_c0_g1,8.275588586,0.58783829,1.053832005,0.557810247,0.576973965,1
TRINITY_DN10056_c0_g1,0.787830887,1.299059702,3.316070388,0.391746721,0.695245365,1
TRINITY_DN1005_c0_g1,4.158236462,0.032509256,1.449468575,0.022428396,0.982106229,1
TRINITY_DN10064_c0_g1,1.481803484,0.341623699,2.64942615,0.128942525,0.897403127,1
TRINITY_DN10065_c0_g1,0.549182991,3.298941444,4.701277601,0.701711689,0.482858982,1
TRINITY_DN10066_c0_g1,7.147180974,1.046959688,1.205880405,0.868211876,0.385278354,1
TRINITY_DN10067_c0_g1,2.075144808,0.275891651,1.952831077,0.141277786,0.887650498,1
TRINITY_DN10068_c0_g1,11.93237148,0.545954063,0.875372268,0.623682155,0.532836345,1
TRINITY_DN1006_c0_g1,46.98432243,-0.489408717,0.564292482,-0.867296186,0.385779746,1
TRINITY_DN10070_c0_g1,3.736974269,0.676849812,1.638198231,0.413167222,0.679484101,1
TRINITY_DN10074_c0_g1,34.45655644,-0.12236032,0.698332706,-0.175217799,0.860908499,1
TRINITY_DN10075_c0_g1,41.62485163,0.802300734,0.542568674,1.478708176,0.139218326,1
TRINITY_DN10076_c0_g1,1.648402652,3.416502022,2.605032258,1.311500851,0.189688607,1
TRINITY_DN10077_c0_g1,1.725899606,-0.332474859,2.309604034,-0.143953186,0.885537437,1
TRINITY_DN10078_c0_g1,23.05826828,0.704609971,0.673805318,1.045717439,0.295691509,1
TRINITY_DN10079_c0_g1,2.158910729,-1.232398401,2.134024436,-0.577499667,0.563601964,1
TRINITY_DN10081_c0_g1,1.397822727,0.488792732,2.715853408,0.179977583,0.857170167,1
TRINITY_DN10084_c0_g1,2.509258076,-3.443232166,2.471902505,-1.392948209,0.163635453,1
TRINITY_DN10085_c0_g1,2.773574493,4.009642784,2.139141615,1.874416708,0.060873012,1
TRINITY_DN10086_c0_g1,34.96676378,0.074265454,0.702275121,0.105749801,0.915780867,1
TRINITY_DN10087_c0_g1,147.3165379,0.701914867,0.446643719,1.571531931,0.116059144,1
TRINITY_DN1008_c0_g1,109.7699416,-0.43891089,0.417278089,-1.051842649,0.292871748,1
TRINITY_DN10093_c0_g1,1746.776599,0.873094424,0.932085008,0.936711155,0.348907156,1
TRINITY_DN10094_c0_g1,17.91281375,2.317631949,0.797519342,2.906051084,0.003660217,1
TRINITY_DN10095_c0_g1,22.53626186,-0.331687418,0.781676723,-0.424328124,0.671326531,1
TRINITY_DN10098_c0_g1,6.298148076,-1.057444301,1.242908597,-0.850782031,0.394890445,1
TRINITY_DN10099_c0_g1,11.39804856,0.254950104,0.924129769,0.275881281,0.782639252,1
TRINITY_DN100_c0_g1,0.499650915,1.752612991,4.576098395,0.382992855,0.701725061,1
TRINITY_DN10100_c0_g1,14.47973734,0.766977515,0.83189835,0.921960616,0.356549119,1
TRINITY_DN10103_c0_g1,154.901369,-0.864311265,0.420787112,-2.054034549,0.039972348,1
TRINITY_DN10104_c0_g1,5.366083838,1.48697993,1.437003297,1.03477837,0.300772426,1
TRINITY_DN10108_c0_g1,5.648531174,-0.099253029,1.227793196,-0.080838556,0.935570345,1
TRINITY_DN10109_c0_g1,2.056479199,0.379800707,2.089959232,0.181726371,0.855797469,1
TRINITY_DN1010_c0_g1,69.55672782,0.451473678,0.457149073,0.987585243,0.323355816,1
TRINITY_DN10112_c0_g1,11.93995899,0.881317672,0.970024975,0.908551526,0.363586904,1
TRINITY_DN10113_c0_g1,11.96275604,-0.972990759,0.933029771,-1.042829275,0.29702737,1
TRINITY_DN10114_c0_g1,1.786507637,-0.374033679,2.322179357,-0.161070107,0.872038184,1
TRINITY_DN10119_c0_g1,35.02328616,1.1195299,0.634648125,1.764016713,0.077729165,1
TRINITY_DN1011_c0_g1,10.19009546,0.285738279,0.980708752,0.291358957,0.770776801,1
TRINITY_DN10121_c0_g1,6.554841537,-1.318160813,1.26519611,-1.041862841,0.297475274,1
TRINITY_DN10122_c0_g1,0.117607381,-0.926861235,4.981102476,-0.18607552,0.852385539,1
TRINITY_DN10124_c0_g1,26.26672885,-1.398558461,0.805695222,-1.73584058,0.082592027,1
TRINITY_DN10125_c0_g1,10.18678206,0.263960496,1.015279709,0.259987956,0.794873064,1
TRINITY_DN10126_c0_g1,4.045229976,-0.303149056,1.453015874,-0.208634373,0.834733675,1
TRINITY_DN10128_c0_g1,5.750138506,0.173478287,1.239095329,0.140003988,0.88865684,1
TRINITY_DN10129_c0_g1,73.93813823,0.18924625,0.470534801,0.402193949,0.687541295,1
TRINITY_DN10132_c0_g1,5.614727303,-1.593484847,1.338073781,-1.190879659,0.233700831,1
