"brood 37 larvae, hour 48, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,2.041089305,-0.664015496,1.059058115,-0.626986835,0.530667865,NA
TRINITY_DN10003_c0_g1,2.441027768,3.519515546,1.272807645,2.765159024,0.005689505,NA
TRINITY_DN10006_c0_g1,2.825121395,0.469907729,0.928692754,0.505988366,0.612864817,0.99832092
TRINITY_DN10007_c0_g1,0.465209072,1.553514427,2.222781926,0.698905461,0.484611114,NA
TRINITY_DN10013_c0_g1,3.674243544,-0.176972806,0.835992966,-0.21169174,0.832347532,0.99832092
TRINITY_DN10015_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10016_c0_g1,3.311664484,-0.00591279,0.863188003,-0.006849945,0.994534577,0.99935953
TRINITY_DN10017_c0_g1,0.860499466,1.112228507,1.693025097,0.656947442,0.511214712,NA
TRINITY_DN10018_c0_g1,0.735298558,-1.158688664,2.024299136,-0.57239004,0.567057762,NA
TRINITY_DN1001_c0_g1,1.381668325,-1.200653959,1.545565693,-0.776837869,0.437254431,NA
TRINITY_DN10020_c0_g1,0.18882312,0.754122287,3.278503666,0.230020266,0.818076022,NA
TRINITY_DN10021_c0_g1,1.043463164,-0.777562136,1.485458667,-0.52344919,0.600661701,NA
TRINITY_DN10024_c0_g1,3.21992601,0.751537647,0.840826854,0.893807855,0.371424706,0.99832092
TRINITY_DN10026_c0_g1,3.766037494,0.683889171,0.87262971,0.78371062,0.43320993,0.99832092
TRINITY_DN10028_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1002_c0_g1,4.301684028,-0.026970016,0.800063664,-0.033709837,0.973108535,0.998809633
TRINITY_DN10031_c0_g1,2.668320863,0.61591235,1.042049751,0.591058487,0.554481233,0.99832092
TRINITY_DN10032_c0_g1,21.1172812,-0.642134897,0.454632442,-1.412426474,0.157824426,0.99832092
TRINITY_DN10034_c0_g1,2.035686486,1.063362896,1.348487959,0.78855943,0.430369551,NA
TRINITY_DN10036_c0_g1,4.736153441,0.023652544,0.744005889,0.031790802,0.974638882,0.998809633
TRINITY_DN1003_c0_g1,1.23434455,0.464118073,1.381250404,0.336012986,0.736861074,NA
