"brood 33 larvae, day 8, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN10113_c0_g1,10.29931681,-0.924740833,1.446645775,-0.639231005,0.522672665,1
TRINITY_DN10114_c0_g1,3.379773255,-2.548969053,2.780695979,-0.916665854,0.359317764,1
TRINITY_DN10119_c0_g1,35.02284897,0.333108836,0.849593766,0.392080132,0.694999007,1
TRINITY_DN1011_c0_g1,6.189760508,0.838359169,1.557500704,0.538272096,0.590389212,1
TRINITY_DN10121_c0_g1,8.065115383,-3.781267748,2.45337352,-1.541252369,0.123255376,1
TRINITY_DN10122_c0_g1,0.117186677,0,5.770660056,0,1,1
TRINITY_DN10124_c0_g1,52.51125628,-0.193166399,1.004721256,-0.192258696,0.847539571,1
TRINITY_DN10125_c0_g1,11.31438961,0.753936957,1.356157473,0.555936145,0.578254508,1
TRINITY_DN10126_c0_g1,2.72116263,1.709057929,2.43923422,0.700653473,0.483519298,1
TRINITY_DN10128_c0_g1,4.774566468,2.009035302,1.745201293,1.151176836,0.249659493,1
TRINITY_DN10129_c0_g1,65.34128111,-0.357327362,0.733335458,-0.487263172,0.626071843,1
TRINITY_DN10132_c0_g1,3.118996383,0.22771603,2.492898448,0.091345891,0.927217755,1
TRINITY_DN10136_c0_g1,3.940457375,-0.019756478,2.334503195,-0.008462819,0.993247728,1
TRINITY_DN10137_c0_g1,32.57080541,-2.429727511,1.138651827,-2.133863445,0.032853961,1
TRINITY_DN10138_c0_g1,21.19540648,0.720199522,0.938507837,0.767387862,0.442850943,1
TRINITY_DN10139_c0_g1,1.797865122,0.228705589,2.876268456,0.079514688,0.936623249,1
TRINITY_DN10140_c0_g1,9.275339215,-4.483602233,2.357913179,-1.90151286,0.05723487,1
TRINITY_DN10142_c0_g1,11.38079688,-1.529557987,2.230733034,-0.685675051,0.492918043,1
TRINITY_DN10143_c0_g1,1.074666209,-0.166144785,4.451730638,-0.037321392,0.970228749,1
TRINITY_DN10144_c0_g1,18.54639725,-0.048239125,1.289497675,-0.037409238,0.970158707,1
TRINITY_DN1014_c1_g1,12.9987966,-1.409859896,1.465148508,-0.962264158,0.335916928,1
TRINITY_DN10151_c0_g1,39.86244025,0.589604353,1.341229338,0.439599953,0.660226875,1
TRINITY_DN10152_c0_g1,8.572491963,1.343736401,1.39798152,0.961197542,0.336452852,1
TRINITY_DN10154_c0_g1,4.314900512,1.531406523,1.819437581,0.841692256,0.399960234,1
TRINITY_DN10155_c0_g1,6.728171013,1.43133284,1.59828858,0.895540929,0.370497997,1
TRINITY_DN10157_c0_g1,4.837614034,0.556829228,1.970265743,0.282616307,0.777470978,1
TRINITY_DN10158_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1015_c0_g1,115.7460953,0.242694766,5.10252484,0.047563662,0.962063993,1
TRINITY_DN10161_c0_g1,1.26715542,4.104177536,3.585977368,1.144507373,0.252413282,1
TRINITY_DN10162_c0_g1,11.9805317,-0.178658952,1.303024376,-0.137110982,0.890943072,1
TRINITY_DN10163_c0_g1,1.541234566,0.438144097,3.566568411,0.122847523,0.902227841,1
TRINITY_DN10164_c0_g1,5.193119806,-2.486859858,2.780273081,-0.894466042,0.371072591,1
TRINITY_DN10166_c0_g1,4.812538566,0.492343398,1.893112178,0.260070906,0.79480908,1
TRINITY_DN10168_c0_g1,18.40017553,-0.390995968,1.16008226,-0.337041589,0.736085549,1
TRINITY_DN10169_c0_g1,1.612882433,-2.303298195,3.700863681,-0.622367748,0.533700083,1
TRINITY_DN10170_c0_g1,29.47723967,0.054104378,0.945029212,0.05725154,0.954344822,1
TRINITY_DN10171_c0_g1,17.4753735,0.020113978,1.105962027,0.018186862,0.985489784,1
TRINITY_DN10173_c0_g1,32.02816499,-0.092306324,0.907652996,-0.101697812,0.918996539,1
TRINITY_DN10174_c0_g1,1.724846225,-1.998742743,3.259454263,-0.613213925,0.539734898,1
TRINITY_DN10175_c0_g1,39.71843376,0.198900336,0.825683811,0.24089165,0.809639094,1
TRINITY_DN10176_c0_g1,84.20115247,-0.378567693,0.674871523,-0.560947796,0.574833126,1
TRINITY_DN10177_c0_g1,8.677755577,1.759738286,1.324385907,1.328720184,0.183940303,1
TRINITY_DN10178_c0_g1,35.70558162,0.08809441,0.81534895,0.10804504,0.913959964,1
TRINITY_DN10179_c0_g1,2.97779088,-0.21724462,2.372620388,-0.09156316,0.927045123,1
TRINITY_DN10181_c0_g1,2.899064073,0.615950465,2.292795585,0.268646045,0.788202076,1
TRINITY_DN10182_c0_g1,1.73775714,0.451091205,2.968996525,0.151933895,0.879239075,1
TRINITY_DN10186_c0_g1,0.831266834,0,5.19275768,0,1,1
TRINITY_DN10189_c0_g1,9.679564585,0.566498229,1.418951811,0.399237116,0.689718497,1
TRINITY_DN1018_c0_g1,1.600137846,-2.640158835,3.442996935,-0.766819978,0.443188556,1
TRINITY_DN10192_c0_g1,10.17841722,-0.331450847,1.445136442,-0.229356092,0.81859216,1
TRINITY_DN10194_c0_g1,30.55247866,-1.014584235,0.964052266,-1.052416212,0.292608634,1
TRINITY_DN10195_c0_g1,8.614403649,-0.733430862,1.604526031,-0.457101255,0.647598268,1
TRINITY_DN10196_c0_g1,88.3302648,-0.176629745,0.748293284,-0.236043472,0.813398937,1
TRINITY_DN10198_c0_g1,0.917226685,-0.732537339,4.088674667,-0.17916254,0.857810076,1
TRINITY_DN10199_c0_g1,5.808759027,-1.383811158,2.061010977,-0.671423478,0.501950793,1
TRINITY_DN1019_c0_g1,9.087468307,-0.741092857,1.669005088,-0.444032713,0.657018933,1
TRINITY_DN10200_c0_g1,9.153399857,1.194096467,1.365556694,0.87443932,0.381879052,1
