"brood 37 larvae, hour 10, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,1.516742892,0.274107563,1.369349652,0.200173537,0.841344863,0.99985774
TRINITY_DN10003_c0_g1,0.958343033,-1.600992277,1.97991778,-0.808615536,0.418736326,0.99985774
TRINITY_DN10006_c0_g1,2.344886216,0.282132512,1.229190167,0.229527147,0.818459223,0.99985774
TRINITY_DN10007_c0_g1,0.791529788,-0.650914511,2.238865985,-0.290734021,0.77125475,0.99985774
TRINITY_DN10013_c0_g1,3.536282039,0.123347432,1.138558981,0.108336445,0.913728814,0.99985774
TRINITY_DN10015_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10016_c0_g1,3.812777666,0.200832167,0.898952882,0.223406779,0.823218929,0.99985774
TRINITY_DN10017_c0_g1,0.732301338,0.052458276,2.320213136,0.022609249,0.981961966,0.99985774
TRINITY_DN10018_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1001_c0_g1,0.404231073,-0.576750275,3.048115191,-0.18921538,0.849924014,0.99985774
TRINITY_DN10020_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN10021_c0_g1,1.377121863,-0.512311834,1.679973127,-0.304952398,0.760402407,0.99985774
TRINITY_DN10024_c0_g1,2.448500624,1.397955812,1.224566964,1.14159197,0.253623663,0.99985774
TRINITY_DN10026_c0_g1,3.304238983,0.23899106,1.01711518,0.234969514,0.814232395,0.99985774
TRINITY_DN10028_c0_g1,0,NA,NA,NA,NA,NA
TRINITY_DN1002_c0_g1,2.761387121,0.80341412,1.223416965,0.656696893,0.511375833,0.99985774
TRINITY_DN10031_c0_g1,2.258111484,-1.962132478,1.352886551,-1.450330389,0.146966409,0.99985774
TRINITY_DN10032_c0_g1,13.69395667,0.215092992,0.640246852,0.335953221,0.736906142,0.99985774
TRINITY_DN10034_c0_g1,0.736420355,-2.089355204,2.370933881,-0.881237229,0.378189433,0.99985774
TRINITY_DN10036_c0_g1,3.241267339,0.821212087,1.03733998,0.791651824,0.42856372,0.99985774
TRINITY_DN1003_c0_g1,0.893602724,0.082054484,1.721020808,0.047677799,0.961973028,0.99985774
TRINITY_DN10040_c0_g1,1.740546496,-0.714426142,1.472629652,-0.485136328,0.627579644,0.99985774
TRINITY_DN10041_c0_g1,0.082354276,-1.443388707,3.810263694,-0.378815962,0.704824533,0.99985774
TRINITY_DN10042_c0_g1,2.149001028,0.229897651,1.139270139,0.201793801,0.840077928,0.99985774
TRINITY_DN10043_c0_g1,3.846670576,1.197162493,0.910348205,1.315059981,0.188489745,0.99985774
TRINITY_DN1004_c0_g1,3.465818983,-0.489422166,0.911385318,-0.537009052,0.591261361,0.99985774
TRINITY_DN10051_c0_g1,5.978467339,0.226971181,0.728472101,0.311571549,0.755366159,0.99985774
TRINITY_DN10055_c0_g1,3.001470293,-0.179422319,1.076208446,-0.16671707,0.867592674,0.99985774
TRINITY_DN10056_c0_g1,0.837460416,2.302448313,1.906157026,1.207900651,0.227085479,0.99985774
TRINITY_DN1005_c0_g1,2.48896229,-0.177598068,1.236370683,-0.143644678,0.885781059,0.99985774
TRINITY_DN10064_c0_g1,0.32564695,-1.21563037,3.288248901,-0.369689281,0.71161402,0.99985774
TRINITY_DN10065_c0_g1,1.163254711,-1.341762682,1.810557274,-0.741077181,0.458646644,0.99985774
TRINITY_DN10066_c0_g1,4.050346347,-1.647303236,0.997783141,-1.650963189,0.098746092,0.99985774
TRINITY_DN10067_c0_g1,0.293938533,-0.910566686,3.405963661,-0.267344804,0.789203693,0.99985774
TRINITY_DN10068_c0_g1,1.639998512,-0.941966895,1.37732375,-0.683911023,0.494031353,0.99985774
TRINITY_DN1006_c0_g1,15.9023141,0.794234151,0.706426125,1.12429895,0.260886224,0.99985774
TRINITY_DN10070_c0_g1,0.499695949,-1.526192241,2.569052171,-0.594068216,0.552466488,0.99985774
TRINITY_DN10074_c0_g1,9.454774083,-0.089363808,0.962589116,-0.09283692,0.92603312,0.99985774
TRINITY_DN10075_c0_g1,7.259169604,0.645343316,0.791955354,0.814873355,0.415144807,0.99985774
TRINITY_DN10076_c0_g1,1.264776235,0.552746602,1.695765407,0.325956998,0.74445689,0.99985774
TRINITY_DN10077_c0_g1,0.817062456,1.041618205,1.99945363,0.520951419,0.602400615,0.99985774
TRINITY_DN10078_c0_g1,8.361593424,-0.04840829,0.686868932,-0.07047675,0.943814205,0.99985774
TRINITY_DN10079_c0_g1,0.491415507,2.322100437,2.77436072,0.836985768,0.402600568,0.99985774
TRINITY_DN10081_c0_g1,1.483206087,-1.56279217,1.474793549,-1.059668434,0.289295468,0.99985774
TRINITY_DN10084_c0_g1,0.247062827,-2.161397207,3.798399924,-0.569028341,0.569336907,0.99985774
TRINITY_DN10085_c0_g1,0.347018234,-0.141425081,2.872741447,-0.049230007,0.960735998,0.99985774
TRINITY_DN10086_c0_g1,14.48859629,-0.252158262,0.636731127,-0.396020001,0.692090273,0.99985774
TRINITY_DN10087_c0_g1,30.76566701,0.36093777,0.399294494,0.903938762,0.366027874,0.99985774
TRINITY_DN1008_c0_g1,25.29639269,0.386272523,0.457204886,0.844856506,0.398190961,0.99985774
TRINITY_DN10093_c0_g1,2138.459287,-0.191053844,0.589353513,-0.324175287,0.745805331,0.99985774
TRINITY_DN10094_c0_g1,0.937415823,3.296690604,1.925079166,1.71249612,0.086805279,0.99985774
TRINITY_DN10095_c0_g1,9.395924461,-0.175220632,0.897027041,-0.195334839,0.845130825,0.99985774
TRINITY_DN10098_c0_g1,1.782058977,-1.434029923,1.432498564,-1.001069013,0.316793445,0.99985774
TRINITY_DN10099_c0_g1,4.355301259,-0.437714619,1.1551838,-0.378913398,0.704752175,0.99985774
