"brood 33 larvae, day 8, pH 7.5",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN0_c0_g1,3.944039795,-0.054852899,1.323226706,-0.041453894,0.966934049,1
TRINITY_DN10003_c0_g1,5.394601474,0.54687247,1.305232356,0.418984763,0.675227268,1
TRINITY_DN10006_c0_g1,3.655674565,-0.23629536,1.338663901,-0.176515823,0.859888719,1
TRINITY_DN10007_c0_g1,2.882500915,-1.288024438,1.631158612,-0.789637763,0.429739348,1
TRINITY_DN10013_c0_g1,10.01536156,-0.274792956,0.847259492,-0.324331516,0.745687061,1
TRINITY_DN10015_c0_g1,0.848156331,-0.040247811,3.568144063,-0.011279761,0.991000244,1
TRINITY_DN10016_c0_g1,8.473852999,-0.374135303,0.909394852,-0.411411283,0.680770982,1
TRINITY_DN10017_c0_g1,2.847025764,0.747636227,1.696849403,0.440602582,0.659500734,1
TRINITY_DN10018_c0_g1,0.605349295,1.876395056,3.717235114,0.504782452,0.613711642,1
TRINITY_DN1001_c0_g1,7.320100854,-0.051462223,0.990208328,-0.051971107,0.958551716,1
TRINITY_DN10020_c0_g1,4.048378672,2.389323126,1.56967811,1.522173948,0.127965501,1
TRINITY_DN10021_c0_g1,1.154905792,-0.735956844,2.435619997,-0.302164067,0.762526995,1
TRINITY_DN10024_c0_g1,17.49529889,-0.161592018,0.680813362,-0.237351419,0.812384175,1
TRINITY_DN10026_c0_g1,9.91027704,-0.54677789,0.855245295,-0.639322886,0.522612903,1
TRINITY_DN10028_c0_g1,5.517366325,-0.253977596,3.749028781,-0.067744904,0.945988703,1
TRINITY_DN1002_c0_g1,14.53217658,0.509902422,0.754027459,0.676238532,0.498889212,1
TRINITY_DN10031_c0_g1,14.594209,-1.055017753,0.786217319,-1.341890756,0.179631419,1
TRINITY_DN10032_c0_g1,12.18379315,0.459548774,0.807920268,0.568804611,0.569488745,1
TRINITY_DN10036_c0_g1,15.69824094,0.225858643,0.709747245,0.31822405,0.750314991,1
TRINITY_DN1003_c0_g1,3.468598015,-0.999520807,1.482293265,-0.674307055,0.50011612,1
TRINITY_DN10040_c0_g1,2.947908006,0.409688925,1.627371578,0.251748851,0.801235195,1
TRINITY_DN10041_c0_g1,1.663758522,0.802512423,2.415086042,0.332291442,0.739669202,1
TRINITY_DN10042_c0_g1,5.350720052,0.104481813,1.16629659,0.089584256,0.928617596,1
TRINITY_DN10043_c0_g1,13.93914974,0.274105425,0.751749169,0.364623515,0.715392459,1
TRINITY_DN1004_c0_g1,6.642654783,1.338429976,1.12001456,1.19501123,0.232082643,1
TRINITY_DN10051_c0_g1,16.75670798,0.076130084,1.030669119,0.073864718,0.94111803,1
TRINITY_DN10053_c0_g1,0.705346884,0.554146762,3.842806173,0.144203672,0.885339641,1
TRINITY_DN10055_c0_g1,5.083532675,-0.432306113,1.297321239,-0.333229813,0.738960816,1
TRINITY_DN10056_c0_g1,1.114028007,0.196925153,2.437924313,0.080775745,0.935620298,1
TRINITY_DN1005_c0_g1,5.816342763,-0.865149104,1.076311257,-0.803809399,0.421507061,1
TRINITY_DN10064_c0_g1,2.081870788,-0.383338669,1.803361239,-0.212568985,0.831663165,1
TRINITY_DN10065_c0_g1,0.488162618,1.479974686,3.986789493,0.371219672,0.710473922,1
TRINITY_DN10066_c0_g1,7.136515723,-0.032015375,1.126303008,-0.028425188,0.977323035,1
TRINITY_DN10067_c0_g1,1.521407383,1.954681703,2.324455574,0.840920224,0.400392627,1
TRINITY_DN10068_c0_g1,10.55383578,-0.021551911,0.872371739,-0.024704962,0.980290297,1
TRINITY_DN1006_c0_g1,32.75148514,-0.401619226,0.560390093,-0.716677955,0.473572831,1
TRINITY_DN10070_c0_g1,0.803752388,-0.47687905,3.051433233,-0.156280349,0.875812045,1
TRINITY_DN10074_c0_g1,23.23493596,-2.353719077,2.231629076,-1.054708913,0.291558474,1
TRINITY_DN10075_c0_g1,29.19858873,-0.029221356,0.644225037,-0.045358927,0.963821219,1
TRINITY_DN10076_c0_g1,3.20175073,1.571004396,1.628248043,0.964843411,0.334623249,1
TRINITY_DN10077_c0_g1,0.644315253,1.898796545,3.631702178,0.522839278,0.601086104,1
TRINITY_DN10078_c0_g1,23.87751194,0.301381526,0.632101436,0.476792978,0.633509546,1
TRINITY_DN10079_c0_g1,3.958061585,0.874869765,1.339312497,0.653223028,0.513612507,1
TRINITY_DN10081_c0_g1,2.561715798,0.269995755,1.763356716,0.153114655,0.878307859,1
TRINITY_DN10084_c0_g1,41.09235943,-0.37018851,2.55007268,-0.145167827,0.884578367,1
TRINITY_DN10085_c0_g1,2.086213603,0.753012379,1.887937763,0.398854451,0.690000453,1
TRINITY_DN10086_c0_g1,27.81246981,0.691945424,0.814198985,0.849848055,0.395409569,1
TRINITY_DN10087_c0_g1,91.15002381,-0.108736714,0.503475906,-0.215972031,0.829009549,1
TRINITY_DN1008_c0_g1,69.13056197,0.231153516,0.438105581,0.527620568,0.597762714,1
TRINITY_DN10093_c0_g1,1560.036434,-0.605809991,0.462519736,-1.309803549,0.190262302,1
TRINITY_DN10094_c0_g1,15.35112536,2.479129862,0.879773371,2.817918732,0.004833604,1
TRINITY_DN10095_c0_g1,21.3451597,0.127494194,0.718193942,0.177520564,0.859099514,1
TRINITY_DN10098_c0_g1,9.931777469,1.411424806,0.896487474,1.574394341,0.115396311,1
TRINITY_DN10099_c0_g1,11.13694553,-1.24344394,0.827904045,-1.501917943,0.133118302,1
TRINITY_DN100_c0_g1,0.797293671,-1.55464969,3.07801919,-0.505081221,0.613501791,1
TRINITY_DN10100_c0_g1,5.948546398,0.183728384,1.145479314,0.160394327,0.872570458,1
TRINITY_DN10103_c0_g1,125.121779,-0.179292247,0.424025653,-0.422833491,0.672416751,1
TRINITY_DN10104_c0_g1,2.869901395,-0.152473583,1.571687566,-0.097012654,0.922716345,1
TRINITY_DN10108_c0_g1,5.464347177,-0.161030581,1.165403103,-0.138175864,0.89010143,1
TRINITY_DN10109_c0_g1,3.036404596,-0.747099086,1.476146778,-0.506114363,0.612776368,1
TRINITY_DN1010_c0_g1,55.22237093,-0.09501394,0.462062547,-0.205630041,0.83707991,1
TRINITY_DN10112_c0_g1,12.22599298,-0.07679779,0.782093033,-0.09819521,0.921777286,1
TRINITY_DN10113_c0_g1,10.29931681,-1.293169282,0.898362326,-1.439474079,0.150016249,1
